date,platform,spend,impressions,clicks
2024-06-06,ВКонтакте,96632,96632,2893
2024-05-31,ВКонтакте,78841,236523,9847
2023-05-18,Email-рассылка,37312,37312,1406
2024-12-31,Яндекс.Директ,91084,182168,4159
2024-09-03,Яндекс.Директ,70535,141070,6779
2023-07-03,Яндекс.Директ,4932,9864,282
2024-02-13,Google Ads,78314,156628,3384
2023-12-21,Email-рассылка,96132,96132,4705
2024-10-03,Поиск (organic),82042,82042,2505
2023-01-17,ВКонтакте,11735,11735,518
2024-12-15,Поиск (organic),88548,88548,3406
2024-08-17,Поиск (organic),6523,19569,673
2023-01-09,ВКонтакте,46684,140052,4582
2024-05-06,Поиск (organic),63280,189840,7795
2023-01-16,Яндекс.Директ,15503,31006,1188
2024-07-15,Яндекс.Директ,6175,12350,386
2024-10-12,Поиск (organic),52905,105810,3922
2025-02-28,Email-рассылка,18670,18670,188
2024-05-04,ВКонтакте,50893,152679,6863
2023-04-05,Яндекс.Директ,90918,181836,4140
2024-10-05,Google Ads,91548,183096,2826
2023-12-09,Google Ads,40559,40559,1243
2025-02-02,Яндекс.Директ,26176,52352,2163
2023-12-02,Email-рассылка,66795,133590,4405
2023-01-06,Яндекс.Директ,22071,22071,799
2024-01-04,Яндекс.Директ,69488,208464,2520
2023-02-23,ВКонтакте,20559,20559,495
2024-01-11,Email-рассылка,84484,168968,6810
2024-03-05,Google Ads,91442,182884,8637
2024-05-29,ВКонтакте,89899,179798,5633
2024-10-12,Яндекс.Директ,29150,87450,3121
2024-06-10,ВКонтакте,32701,98103,4248
2024-01-08,Яндекс.Директ,3416,10248,259
2025-02-24,Яндекс.Директ,25752,77256,2930
2024-05-17,Поиск (organic),92914,92914,1265
2024-01-13,ВКонтакте,67770,135540,4928
2023-09-25,Email-рассылка,66051,66051,2025
2023-04-28,Google Ads,74242,148484,2996
2024-09-12,Email-рассылка,93258,186516,3458
2024-10-14,Поиск (organic),52558,52558,1177
2025-02-11,Поиск (organic),50256,150768,3200
2023-04-07,Google Ads,30847,92541,3016
2023-08-06,ВКонтакте,70408,140816,6724
2024-10-12,Google Ads,84089,168178,6800
2024-06-23,Поиск (organic),30228,30228,1369
2023-02-13,Яндекс.Директ,37984,75968,3607
2024-02-24,Яндекс.Директ,55542,55542,2736
2024-10-03,Яндекс.Директ,11615,34845,1186
2024-01-05,Яндекс.Директ,2404,4808,117
2024-05-27,Яндекс.Директ,36201,72402,3618
2023-05-31,Яндекс.Директ,84161,84161,1668
2024-12-16,Поиск (organic),17635,17635,595
2024-07-11,Поиск (organic),29329,58658,2618
2023-10-04,Google Ads,34888,104664,2070
2024-03-27,Поиск (organic),27439,82317,2969
2023-08-18,Яндекс.Директ,79854,159708,7217
2023-07-11,Email-рассылка,30193,90579,1038
2024-06-21,Google Ads,76690,153380,2757
2023-07-04,Поиск (organic),49799,49799,2267
2024-12-30,ВКонтакте,80183,240549,7668
2023-03-14,Google Ads,41069,123207,4016
2025-03-15,Email-рассылка,35518,71036,2804
2024-08-03,Email-рассылка,26298,26298,1223
2023-01-13,ВКонтакте,76350,229050,2969
2023-07-10,Google Ads,76590,153180,5403
2024-10-01,Email-рассылка,33407,100221,4289
2024-02-23,Яндекс.Директ,65754,131508,3509
2024-01-14,Поиск (organic),46026,92052,3914
2024-04-17,Email-рассылка,39432,39432,1682
2023-02-08,Яндекс.Директ,55444,166332,4114
2025-03-24,Email-рассылка,90049,270147,6906
2023-09-27,Яндекс.Директ,50306,50306,2077
2023-05-05,Поиск (organic),92931,92931,3969
2025-02-03,Поиск (organic),65734,131468,4583
2024-09-21,Email-рассылка,36057,72114,3367
2023-05-17,Яндекс.Директ,29306,58612,2617
2025-03-06,ВКонтакте,38051,38051,1631
2024-11-10,Яндекс.Директ,60845,60845,1251
2023-07-05,ВКонтакте,30987,30987,387
2023-03-31,Поиск (organic),27801,27801,855
2024-06-18,ВКонтакте,2296,6888,142
2023-08-22,Google Ads,60158,60158,1916
2024-07-04,Яндекс.Директ,26699,80097,1678
2023-03-22,ВКонтакте,97900,97900,1359
2025-01-25,Google Ads,19360,38720,1514
2025-02-19,Поиск (organic),22355,67065,2323
2024-12-18,Яндекс.Директ,70704,212112,9313
2023-12-15,Email-рассылка,66080,66080,3086
2023-10-07,Email-рассылка,11464,22928,1044
2024-01-11,ВКонтакте,96137,192274,3846
2023-03-17,Email-рассылка,23322,23322,453
2023-09-27,ВКонтакте,23734,23734,801
2023-09-24,Поиск (organic),50482,100964,2209
2024-10-17,Email-рассылка,88411,176822,4616
2023-01-16,Яндекс.Директ,93531,280593,12428
2024-11-15,Email-рассылка,2184,6552,295
2024-05-15,Google Ads,54168,54168,2150
2023-04-01,Яндекс.Директ,53880,53880,583
2023-08-12,Google Ads,74367,223101,10339
2023-07-04,Яндекс.Директ,58010,174030,4241
2024-02-06,Google Ads,73463,146926,6570
2024-08-24,Поиск (organic),60732,60732,1976
2023-05-15,Google Ads,9276,9276,383
2024-01-18,Поиск (organic),96128,288384,2891
2024-01-17,Google Ads,14698,14698,480
2023-01-28,Google Ads,29625,88875,3303
2024-01-13,ВКонтакте,23929,71787,2968
2023-01-21,Google Ads,66486,132972,3608
2024-04-21,ВКонтакте,89045,89045,2560
2024-02-14,Поиск (organic),1569,3138,125
2023-03-29,ВКонтакте,78275,78275,3471
2024-02-14,Поиск (organic),68479,136958,1737
2025-02-05,Поиск (organic),73553,73553,3616
2023-09-29,Поиск (organic),8804,17608,424
2024-09-08,Поиск (organic),48352,96704,3300
2024-02-23,ВКонтакте,79477,79477,3751
2024-11-07,Яндекс.Директ,88625,177250,5599
2025-03-04,Поиск (organic),48299,48299,1898
2023-11-14,Google Ads,87913,87913,2582
2024-03-23,Google Ads,79847,79847,2463
2023-12-19,ВКонтакте,74778,149556,1562
2024-08-28,Email-рассылка,19283,57849,740
2023-03-12,ВКонтакте,85054,85054,1549
2023-05-14,Яндекс.Директ,80676,161352,1642
2023-08-13,Google Ads,96764,290292,13881
2023-10-02,Яндекс.Директ,55206,55206,1628
2025-01-07,Поиск (organic),22033,66099,2520
2024-08-17,Google Ads,15353,30706,971
2023-07-31,Google Ads,44418,88836,2399
2023-10-08,ВКонтакте,51209,102418,2960
2023-04-04,Google Ads,31365,31365,1116
2024-09-05,Поиск (organic),66784,66784,1673
2023-04-17,ВКонтакте,40859,81718,1119
2024-04-26,Email-рассылка,52633,157899,5810
2023-11-21,Яндекс.Директ,93085,93085,3101
2024-01-24,Google Ads,90680,181360,6332
2024-04-24,Email-рассылка,13179,13179,140
2024-07-14,Email-рассылка,35428,70856,3019
2025-03-28,ВКонтакте,74871,74871,2374
2024-10-22,Поиск (organic),61479,61479,1589
2024-03-26,Поиск (organic),94658,94658,4479
2024-09-26,Поиск (organic),72569,72569,1648
2024-06-01,ВКонтакте,94949,284847,11058
2025-01-14,Email-рассылка,77613,155226,4938
2023-11-25,Поиск (organic),76036,152072,5466
2024-11-12,ВКонтакте,86262,172524,3216
2024-01-14,ВКонтакте,28370,56740,740
2023-12-26,Яндекс.Директ,2199,2199,76
2023-01-25,Поиск (organic),67809,67809,1328
2024-01-05,Яндекс.Директ,63143,189429,9116
2025-01-21,Яндекс.Директ,13349,26698,1011
2024-06-22,ВКонтакте,8195,24585,792
2023-09-13,ВКонтакте,82112,246336,9461
2025-01-12,Google Ads,35925,35925,451
2023-12-26,Google Ads,54000,54000,2674
2024-09-03,Поиск (organic),16374,49122,1676
2023-06-19,ВКонтакте,30102,90306,4258
2024-01-20,Поиск (organic),23691,23691,698
2024-08-06,Email-рассылка,88549,265647,6202
2023-07-22,Email-рассылка,91778,183556,6021
2023-07-21,ВКонтакте,58164,174492,8636
2023-06-17,Google Ads,96858,193716,5540
2023-04-23,Яндекс.Директ,16498,49494,1382
2024-02-26,ВКонтакте,86965,173930,8644
2025-01-17,Google Ads,82297,246891,6176
2023-07-20,Поиск (organic),61067,183201,2663
2023-12-02,ВКонтакте,65471,65471,1035
2023-10-11,Поиск (organic),50092,150276,7290
2024-08-11,Яндекс.Директ,92707,185414,6371
2024-08-30,ВКонтакте,84162,84162,3040
2024-09-18,Яндекс.Директ,87140,174280,3329
2024-11-10,Google Ads,29112,58224,1197
2024-09-12,ВКонтакте,93909,281727,7381
2024-02-24,Google Ads,89995,89995,2000
2024-03-27,Яндекс.Директ,72719,145438,4554
2024-01-18,ВКонтакте,30256,90768,2861
2023-09-14,ВКонтакте,89663,179326,6665
2024-11-05,Яндекс.Директ,3892,7784,245
2025-02-21,Email-рассылка,54896,109792,3740
2024-01-09,Поиск (organic),80712,80712,1403
2023-05-02,Яндекс.Директ,35717,107151,2077
2023-08-09,ВКонтакте,11313,11313,432
2024-01-23,Поиск (organic),58389,58389,708
2024-05-30,ВКонтакте,43213,43213,1616
2024-07-18,ВКонтакте,85001,255003,5424
2024-01-03,Поиск (organic),52181,156543,3076
2023-06-07,Google Ads,15378,46134,2006
2024-09-15,Поиск (organic),90217,90217,3818
2023-03-25,Яндекс.Директ,66356,199068,4968
2025-03-18,Яндекс.Директ,27461,54922,1455
2024-03-19,Яндекс.Директ,27965,55930,898
2023-06-24,ВКонтакте,54010,108020,5352
2025-02-25,ВКонтакте,14186,14186,441
2023-08-09,Яндекс.Директ,23967,71901,2225
2023-02-01,Email-рассылка,35166,35166,695
2023-10-20,Email-рассылка,7743,7743,215
2023-04-26,ВКонтакте,8670,8670,388
2024-02-11,Поиск (organic),21038,42076,1869
2024-02-17,Яндекс.Директ,47628,95256,1710
2023-01-11,Поиск (organic),86433,86433,2407
2025-02-20,Поиск (organic),67011,134022,3782
2024-05-31,ВКонтакте,52840,158520,6837
2023-09-25,Email-рассылка,83835,167670,7402
2024-09-05,Google Ads,31717,31717,796
2024-12-30,Поиск (organic),45489,136467,6138
2025-01-08,Google Ads,31400,31400,1318
2024-02-21,Email-рассылка,86302,86302,2767
2024-01-22,Google Ads,58320,116640,1970
2024-05-03,Поиск (organic),30089,90267,1763
2023-07-24,ВКонтакте,63891,191673,9475
2024-03-02,ВКонтакте,38372,115116,3931
2023-08-25,ВКонтакте,83409,166818,6993
2024-08-17,ВКонтакте,56029,56029,1649
2024-07-03,Email-рассылка,96366,96366,1911
2023-01-06,Яндекс.Директ,3215,3215,114
2025-01-07,ВКонтакте,29819,29819,646
2023-03-01,Поиск (organic),23896,47792,1897
2023-07-25,Поиск (organic),40367,121101,1736
2023-07-09,ВКонтакте,13499,26998,1049
2024-06-10,Email-рассылка,70890,70890,1356
2023-04-26,ВКонтакте,3160,9480,229
2024-03-07,Email-рассылка,71349,142698,7114
2024-01-28,Google Ads,28955,28955,987
2023-01-23,ВКонтакте,8346,8346,232
2025-01-09,Яндекс.Директ,99098,297294,3528
2025-03-26,ВКонтакте,49210,98420,4089
2024-09-06,Google Ads,75905,227715,5691
2023-07-15,Поиск (organic),92781,185562,8953
2023-03-21,Яндекс.Директ,56866,113732,3848
2025-02-20,Google Ads,97061,291183,11370
2023-07-10,Поиск (organic),3037,9111,161
2024-03-27,Поиск (organic),99902,199804,2371
2025-01-23,ВКонтакте,10446,20892,689
2024-01-09,Google Ads,63445,63445,1769
2024-01-08,Email-рассылка,70543,211629,7652
2024-12-03,ВКонтакте,97187,97187,2895
2023-02-28,Поиск (organic),61633,123266,3496
2024-07-23,Google Ads,5236,15708,360
2023-03-11,Google Ads,39812,119436,5227
2023-03-12,Поиск (organic),88196,88196,3025
2024-04-23,Email-рассылка,70880,212640,3259
2023-07-14,Яндекс.Директ,77142,231426,9178
2024-12-17,Google Ads,27186,27186,483
2025-01-29,Google Ads,30557,30557,586
2024-12-23,Google Ads,86985,173970,6222
2024-05-08,ВКонтакте,87508,175016,2334
2023-07-26,Поиск (organic),6720,6720,323
2024-01-07,ВКонтакте,2401,4802,90
2024-07-29,Поиск (organic),88399,265197,12076
2024-12-10,ВКонтакте,53513,160539,3935
2024-12-18,Google Ads,81643,81643,1649
2023-09-19,Email-рассылка,60260,120520,3384
2024-09-04,ВКонтакте,67034,201102,5793
2024-06-04,Поиск (organic),69787,69787,2508
2023-04-12,Яндекс.Директ,29294,29294,1071
2023-10-13,ВКонтакте,77401,154802,7348
2023-07-06,ВКонтакте,36320,36320,638
2025-03-28,Email-рассылка,66557,66557,2532
2023-01-24,ВКонтакте,1039,3117,138
2023-02-07,Email-рассылка,97941,195882,3617
2024-02-07,Google Ads,20561,41122,898
2023-08-12,Поиск (organic),62420,62420,2331
2023-09-10,Яндекс.Директ,99178,99178,1138
2024-08-28,Яндекс.Директ,62892,188676,8956
2024-03-15,Поиск (organic),1300,1300,41
2024-08-04,Поиск (organic),71880,215640,4772
2024-10-02,Яндекс.Директ,42158,42158,1465
2025-03-29,ВКонтакте,39161,39161,1928
2023-12-24,Яндекс.Директ,99931,299793,4377
2023-05-22,Поиск (organic),29129,29129,734
2024-10-07,Яндекс.Директ,22979,22979,449
2023-07-18,Поиск (organic),24371,48742,824
2025-03-01,Google Ads,53501,160503,5019
2025-03-11,Поиск (organic),79663,79663,850
2023-08-02,Яндекс.Директ,69214,138428,3143
2024-06-29,Google Ads,72917,145834,2368
2023-03-07,Яндекс.Директ,44320,44320,832
2023-06-13,Поиск (organic),77157,154314,3613
2023-01-16,Яндекс.Директ,96827,193654,4465
2023-06-04,Поиск (organic),98454,98454,3914
2023-02-01,Яндекс.Директ,26671,26671,408
2023-05-01,Яндекс.Директ,2179,4358,95
2024-04-15,Поиск (organic),19236,57708,1246
2023-06-29,Google Ads,78586,78586,2032
2024-09-27,ВКонтакте,18072,54216,1345
2023-06-15,Яндекс.Директ,30641,61282,2428
2023-09-27,Яндекс.Директ,38636,38636,1712
2024-03-29,ВКонтакте,64062,192186,8018
2025-03-07,Google Ads,9742,9742,467
2023-09-04,ВКонтакте,25724,77172,1835
2023-09-08,Google Ads,40383,121149,4365
2023-03-05,Поиск (organic),28631,85893,4254
2023-12-04,Поиск (organic),60322,60322,1519
2025-02-12,Google Ads,28735,86205,3002
2024-05-03,Email-рассылка,83255,166510,4188
2023-02-17,Поиск (organic),66721,200163,3736
2024-06-16,Поиск (organic),44117,44117,1542
2024-06-27,Google Ads,69860,209580,3900
2023-08-10,Google Ads,94881,189762,3176
2023-02-28,Google Ads,66667,66667,1128
2023-08-26,Яндекс.Директ,7523,22569,603
2024-04-16,Google Ads,85191,255573,7732
2023-06-28,Email-рассылка,52779,158337,4129
2024-10-23,Поиск (organic),32865,98595,4550
2024-09-13,Email-рассылка,26890,80670,3109
2024-01-25,Email-рассылка,81143,243429,7078
2024-03-03,Google Ads,4552,4552,201
2023-11-02,Поиск (organic),18940,18940,798
2024-06-30,Google Ads,91300,273900,5533
2023-07-09,Google Ads,13568,40704,1216
2025-02-13,Поиск (organic),80804,161608,2618
2023-07-15,Поиск (organic),32141,32141,1422
2023-08-20,Google Ads,11437,11437,247
2025-02-17,Email-рассылка,59172,177516,6108
2023-11-28,Email-рассылка,9731,29193,1449
2023-09-25,ВКонтакте,52576,52576,1886
2023-02-03,Email-рассылка,44553,44553,1050
2023-03-23,Email-рассылка,88347,265041,9019
2024-12-30,ВКонтакте,42007,126021,3954
2025-03-19,ВКонтакте,38316,76632,3123
2024-11-23,Email-рассылка,87906,263718,4256
2024-04-03,Поиск (organic),81529,163058,2160
2023-03-01,Яндекс.Директ,80956,80956,3863
2024-11-06,ВКонтакте,86343,86343,3421
2023-06-10,ВКонтакте,48629,145887,2390
2023-01-01,Google Ads,13031,39093,453
2025-01-01,Яндекс.Директ,31328,62656,2657
2025-01-01,Поиск (organic),23654,23654,592
2023-08-13,ВКонтакте,11624,34872,1197
2023-11-01,Поиск (organic),73386,220158,6899
2024-06-11,Яндекс.Директ,6434,19302,425
2024-02-01,Яндекс.Директ,60516,60516,2316
2023-05-01,Поиск (organic),42261,42261,985
2024-06-30,Яндекс.Директ,35250,35250,1000
2023-09-23,Google Ads,83783,167566,2944
2024-06-02,Email-рассылка,33066,33066,914
2024-03-25,Поиск (organic),27252,27252,1101
2023-11-30,Яндекс.Директ,55236,55236,1346
2023-08-20,Поиск (organic),23443,46886,2176
2023-03-13,Поиск (organic),59531,119062,4974
2023-09-26,Google Ads,41665,124995,3681
2024-10-22,Яндекс.Директ,80800,161600,7413
2024-11-05,Поиск (organic),14574,43722,1577
2024-02-04,Поиск (organic),24295,48590,2365
2024-12-13,Поиск (organic),17983,17983,271
2025-03-09,Поиск (organic),63002,189006,4906
2024-03-06,Email-рассылка,46472,92944,2153
2024-08-17,Google Ads,61530,123060,3354
2024-06-23,Email-рассылка,14013,42039,1795
2025-03-26,ВКонтакте,24135,48270,1212
2024-08-26,Яндекс.Директ,83849,83849,2143
2024-10-16,Google Ads,17523,17523,571
2023-03-16,Google Ads,99461,198922,2768
2024-09-29,Поиск (organic),46924,93848,2164
2024-05-15,Google Ads,36611,36611,1203
2023-04-21,Email-рассылка,57899,173697,5503
2024-09-10,ВКонтакте,26397,79191,1217
2023-11-19,Google Ads,76966,76966,2171
2025-02-14,ВКонтакте,31708,63416,2370
2023-03-04,Email-рассылка,14340,43020,881
2025-02-06,Яндекс.Директ,14941,44823,590
2023-12-09,ВКонтакте,71543,71543,1620
2023-04-29,Google Ads,1967,1967,22
2023-04-12,Поиск (organic),61173,61173,791
2025-02-20,Поиск (organic),58512,58512,2455
2024-11-23,Email-рассылка,17531,17531,347
2023-08-27,Яндекс.Директ,65945,197835,9568
2023-11-08,Яндекс.Директ,78726,236178,7334
2023-11-01,Email-рассылка,27559,27559,877
2024-07-03,Email-рассылка,20768,41536,1870
2025-01-18,Google Ads,74696,74696,3146
2023-08-22,Google Ads,45123,135369,3870
2025-01-01,Поиск (organic),4081,4081,183
2024-07-04,Email-рассылка,37041,37041,855
2024-09-14,Google Ads,26830,80490,2008
2023-01-21,Google Ads,3617,10851,480
2024-09-16,ВКонтакте,43586,87172,980
2023-07-02,Поиск (organic),14221,28442,752
2024-12-24,Яндекс.Директ,69173,138346,5781
2023-10-21,Google Ads,65487,196461,3979
2024-05-22,Яндекс.Директ,46843,46843,1519
2024-03-02,ВКонтакте,56417,112834,4688
2023-03-24,Поиск (organic),82900,165800,7889
2024-10-16,Поиск (organic),5515,11030,240
2023-06-10,Email-рассылка,64462,64462,2429
2024-01-05,Поиск (organic),55137,110274,2243
2025-03-12,Поиск (organic),39198,39198,1452
2023-11-19,Яндекс.Директ,67627,67627,1943
2024-02-18,Поиск (organic),1816,5448,264
2023-02-11,ВКонтакте,78287,78287,2222
2024-10-11,Email-рассылка,68293,68293,848
2024-07-05,ВКонтакте,2131,6393,267
2024-01-13,Поиск (organic),30208,90624,1387
2025-02-04,ВКонтакте,54837,109674,5411
2024-09-09,ВКонтакте,51884,155652,2088
2023-09-19,Яндекс.Директ,9430,28290,1118
2025-02-28,Поиск (organic),11636,34908,1006
2024-05-10,ВКонтакте,91696,183392,8304
2024-10-07,ВКонтакте,79738,79738,3035
2024-06-25,ВКонтакте,76949,76949,2265
2024-01-21,Яндекс.Директ,46881,140643,5893
2023-08-27,Email-рассылка,66765,133530,4295
2024-10-29,Email-рассылка,63350,63350,1421
2023-04-30,Поиск (organic),68318,68318,2696
2023-05-19,Поиск (organic),73940,147880,1668
2024-10-31,Яндекс.Директ,43293,129879,6303
2023-11-25,Поиск (organic),46224,92448,4033
2024-12-21,ВКонтакте,78651,78651,2011
2023-02-13,Поиск (organic),85916,85916,1841
2023-12-12,Поиск (organic),15868,31736,687
2023-10-17,Google Ads,41395,82790,1298
2023-05-17,ВКонтакте,88368,265104,11619
2023-05-23,Google Ads,33110,66220,1423
2023-12-11,Поиск (organic),82197,164394,5918
2025-01-13,Яндекс.Директ,72081,144162,5582
2024-09-07,Поиск (organic),94816,189632,7827
2024-07-02,Яндекс.Директ,95149,190298,7638
2024-08-08,Email-рассылка,41867,83734,889
2024-05-13,Email-рассылка,4583,4583,107
2024-05-07,Google Ads,40175,40175,1262
2024-04-16,Google Ads,15327,15327,397
2024-03-07,ВКонтакте,34241,102723,3459
2023-07-15,Email-рассылка,93553,187106,2952
2025-02-06,Google Ads,50241,150723,7346
2023-05-27,Поиск (organic),83410,166820,6031
2024-08-28,Поиск (organic),25018,75054,1786
2024-07-27,ВКонтакте,47437,47437,1189
2024-07-04,Email-рассылка,79393,79393,3378
2023-12-12,Яндекс.Директ,97289,291867,4469
2025-03-24,ВКонтакте,43324,86648,1555
2025-03-21,Поиск (organic),44758,44758,634
2023-07-16,Google Ads,28660,28660,1119
2023-06-18,ВКонтакте,18809,56427,1019
2023-07-22,ВКонтакте,92682,185364,8293
2023-02-04,ВКонтакте,86649,259947,8401
2024-08-25,Google Ads,88847,88847,4385
2023-01-03,ВКонтакте,27458,54916,637
2024-04-11,Email-рассылка,63762,127524,3202
2024-08-07,Email-рассылка,18285,36570,428
2024-07-12,Поиск (organic),88727,177454,5902
2023-11-04,Email-рассылка,40895,122685,1515
2024-12-31,ВКонтакте,42465,84930,3137
2024-12-11,Поиск (organic),59653,178959,2242
2024-09-23,Поиск (organic),58546,58546,2298
2023-05-03,Google Ads,92221,184442,4209
2023-09-19,Поиск (organic),52213,156639,4659
2023-03-16,Поиск (organic),85997,257991,5466
2023-04-16,Поиск (organic),74532,149064,3750
2024-07-25,ВКонтакте,7431,22293,669
2023-02-21,Email-рассылка,71211,142422,3113
2023-02-08,Поиск (organic),7851,15702,179
2024-06-08,Яндекс.Директ,1837,1837,60
2023-10-10,Яндекс.Директ,31958,31958,1479
2024-09-09,Email-рассылка,9261,27783,382
2024-03-12,Google Ads,54633,163899,3288
2025-01-27,Поиск (organic),95830,287490,6115
2023-08-04,Яндекс.Директ,88698,88698,1943
2024-02-13,Email-рассылка,90645,181290,8356
2024-06-27,ВКонтакте,58179,116358,5129
2025-02-17,Email-рассылка,27031,27031,997
2025-03-25,Email-рассылка,11828,35484,645
2023-10-01,Google Ads,95881,95881,2723
2025-03-19,Email-рассылка,7129,21387,326
2024-09-23,Google Ads,6359,12718,345
2024-10-28,Google Ads,16298,32596,1498
2023-08-11,Яндекс.Директ,31039,93117,2463
2023-08-12,Поиск (organic),61451,122902,3749
2023-07-16,ВКонтакте,42394,42394,1223
2024-09-16,ВКонтакте,88388,176776,2857
2024-08-29,ВКонтакте,53649,160947,2431
2024-01-16,Email-рассылка,62941,125882,3297
2024-12-06,Яндекс.Директ,70003,70003,3253
2023-01-07,Поиск (organic),44692,134076,2508
2023-03-02,Поиск (organic),85140,255420,8580
2024-09-20,Поиск (organic),13539,13539,210
2023-09-06,Яндекс.Директ,48126,96252,3758
2023-03-02,Яндекс.Директ,39918,79836,1604
2023-08-13,Google Ads,11833,35499,1307
2024-06-27,Поиск (organic),5379,10758,305
2024-10-02,Яндекс.Директ,88690,88690,3668
2023-07-26,Яндекс.Директ,54140,162420,2652
2024-08-09,Google Ads,60178,60178,2344
2024-08-05,ВКонтакте,94503,94503,1406
2025-02-03,ВКонтакте,82721,248163,3235
2024-12-21,ВКонтакте,59478,178434,5076
2024-11-08,Поиск (organic),78038,78038,1902
2024-05-24,Поиск (organic),54771,109542,1422
2024-12-18,ВКонтакте,45742,45742,729
2024-10-19,Яндекс.Директ,90835,90835,935
2025-03-05,Яндекс.Директ,45501,91002,1129
2023-03-04,Поиск (organic),38551,115653,4877
2024-12-26,Яндекс.Директ,69185,69185,3167
2025-03-10,Email-рассылка,38176,38176,957
2024-02-18,ВКонтакте,16549,33098,622
2024-08-10,Google Ads,58594,58594,2387
2024-11-07,Email-рассылка,17379,52137,1034
2023-02-01,Google Ads,9739,29217,715
2023-06-24,Поиск (organic),16185,16185,501
2023-05-25,Яндекс.Директ,4283,4283,87
2023-05-08,Email-рассылка,8595,25785,1275
2024-05-22,Email-рассылка,7221,14442,475
2023-03-23,Поиск (organic),81907,81907,2396
2024-06-09,Яндекс.Директ,78781,157562,2840
2024-07-10,Яндекс.Директ,65963,131926,3367
2023-05-25,Поиск (organic),63183,126366,1585
2024-11-14,Яндекс.Директ,77084,77084,2759
2023-11-04,Google Ads,32156,64312,1852
2023-08-03,Яндекс.Директ,87071,174142,5661
2024-06-12,Яндекс.Директ,91750,183500,8864
2023-01-25,Поиск (organic),2982,5964,273
2023-09-15,Email-рассылка,67968,203904,4317
2023-09-03,Email-рассылка,61125,122250,2857
2023-10-30,Яндекс.Директ,37787,113361,1281
2024-02-17,Google Ads,1688,1688,64
2024-06-17,Яндекс.Директ,63157,63157,3109
2025-01-26,Яндекс.Директ,93258,93258,4108
2023-10-13,Google Ads,58137,116274,2644
2024-12-01,Google Ads,98931,197862,9805
2024-08-22,Email-рассылка,94350,283050,6094
2024-01-08,Google Ads,45595,136785,6189
2024-06-18,Поиск (organic),78292,156584,7139
2024-02-22,Яндекс.Директ,39244,78488,1097
2025-03-30,ВКонтакте,81196,243588,11749
2023-05-23,Email-рассылка,14540,14540,260
2023-10-16,Поиск (organic),21569,43138,1073
2023-02-28,Поиск (organic),6122,6122,221
2023-07-19,Яндекс.Директ,28291,56582,2745
2023-01-11,Email-рассылка,10264,20528,301
2024-11-10,Яндекс.Директ,91407,274221,4336
2023-05-10,Email-рассылка,49616,49616,1833
2024-08-09,Яндекс.Директ,44071,132213,2986
2023-02-01,Google Ads,46990,46990,1990
2023-07-25,Поиск (organic),16629,33258,507
2024-05-29,Яндекс.Директ,96070,96070,3791
2024-02-13,Яндекс.Директ,45547,91094,2691
2024-01-24,Google Ads,77858,77858,2754
2023-01-29,Яндекс.Директ,24208,72624,3010
2023-05-20,Поиск (organic),41899,83798,1946
2024-05-02,Яндекс.Директ,15650,15650,457
2023-12-27,Яндекс.Директ,25637,25637,282
2023-08-30,Google Ads,28072,84216,2098
2025-01-09,Поиск (organic),5109,5109,225
2023-03-29,Google Ads,25975,77925,1512
2023-02-28,Email-рассылка,47191,94382,1200
2023-05-22,Email-рассылка,95360,95360,2286
