client_id,recency,frequency,monetary
user_1124,11,5,62953
user_1125,295,5,101327
user_1126,50,10,279600
user_1129,109,9,290641
user_113,447,3,24783
user_1131,54,2,66007
user_1132,10,9,232919
user_1133,174,1,6270
user_1134,59,10,225630
user_1135,76,10,203442
user_1136,30,9,279319
user_1137,68,10,292727
user_1138,201,10,312395
user_1139,296,3,102926
user_114,180,4,92880
user_1140,147,2,52336
user_1141,278,3,50122
user_1142,227,4,125443
user_1143,507,1,29784
user_1144,13,2,46616
user_1145,143,5,113832
user_1146,8,3,66465
user_1147,177,8,158573
user_1148,34,3,78069
user_1149,124,7,210501
user_1150,76,6,137955
user_1151,160,6,168518
user_1152,37,4,163231
user_1153,248,5,153883
user_1154,46,8,165281
user_1155,30,4,109658
user_1156,37,8,180152
user_1157,18,9,249752
user_1158,209,9,139888
user_1159,279,1,6243
user_116,48,7,155637
user_1160,246,4,80667
user_1161,330,2,23782
user_1162,40,6,117615
user_1163,238,2,54470
user_1164,128,7,212448
user_1165,164,8,259082
user_1166,94,7,225408
user_1167,36,9,254833
user_1169,35,4,142493
user_117,9,7,175105
user_1170,272,4,118767
user_1171,148,6,89565
user_1172,788,1,698
user_1173,325,6,247437
user_1174,61,8,190708
user_1175,41,7,168251
user_1176,6,7,191333
user_1178,381,4,135083
user_1179,120,5,98760
user_118,192,2,60029
user_1180,525,1,11716
user_1183,99,10,203352
user_1184,292,1,31265
user_1185,18,6,163975
user_1186,659,2,35223
user_1187,81,2,47551
user_1188,22,6,134738
user_1189,29,4,130942
user_119,3,2,59101
user_1190,271,3,71422
user_1191,15,9,158541
user_1192,63,9,225405
user_1193,637,1,23297
user_1194,96,6,137420
user_1195,472,1,21195
user_1196,22,3,85311
user_1197,49,10,148610
user_1198,21,8,80022
user_1199,19,7,226498
user_12,18,6,123864
user_120,17,4,101661
user_1200,138,10,316336
user_1202,104,3,68979
user_1203,209,5,104740
user_1204,781,1,40779
user_1205,16,8,143521
user_1206,131,3,57780
user_1207,62,7,101948
user_1208,269,4,121201
user_1209,394,7,122007
user_121,512,1,8590
user_1210,73,6,121642
user_1211,55,9,247496
user_1212,112,4,61773
user_1214,696,1,15728
user_1216,63,5,125872
user_1217,82,8,254754
user_1218,24,7,79051
user_1219,675,1,37293
user_122,14,1,38156
user_1220,37,3,129870
user_1221,322,5,148953
user_1224,92,5,121711
user_1225,136,2,89125
user_1226,75,7,165349
user_1227,49,6,123544
user_1228,57,7,162866
user_1229,132,5,118586
user_123,85,9,257960
user_1230,4,8,113880
user_1231,298,6,119619
user_1232,83,10,226446
user_1233,691,1,1361
user_1234,72,10,305301
user_1235,106,10,255463
user_1236,110,7,211759
user_1237,73,8,207813
user_1238,77,8,194020
user_1239,37,10,252268
user_124,16,9,193625
user_1240,80,6,175665
user_1241,89,10,224524
user_1242,10,10,235804
user_1243,291,1,45708
user_1244,7,9,265123
user_1245,92,6,144795
user_1246,355,7,135794
user_1247,104,10,196561
user_1248,561,1,973
user_125,289,3,67797
user_1250,143,4,108298
user_1251,312,1,20864
user_1252,220,5,95373
user_1253,27,8,236101
user_1254,21,6,173813
user_1255,3,9,169341
user_1258,80,8,197976
user_1259,289,10,244890
user_126,22,10,279100
user_1261,44,7,172098
user_1262,102,4,102727
user_1263,290,2,49131
user_1264,126,10,210502
user_1265,84,8,210368
user_1266,119,3,88912
user_1267,39,8,219573
user_1268,199,5,165872
user_1269,188,8,255800
user_127,145,5,105291
user_1270,24,7,186661
user_1271,90,8,259077
user_1272,198,6,155129
user_1273,10,10,241098
user_1274,121,9,216392
user_1275,31,8,195528
user_1276,68,3,38659
user_1277,43,10,202927
user_1278,262,9,271393
user_1279,43,7,257984
user_128,22,6,208905
user_1280,121,5,60818
user_1281,129,4,129928
user_1282,14,10,183800
user_1283,112,10,287108
user_1284,58,9,290242
user_1285,422,3,38210
user_1286,130,5,122683
user_1287,87,10,275955
user_1288,292,2,18447
user_1289,468,1,3411
user_129,6,3,61907
user_1290,484,1,11600
user_1291,136,5,175312
user_1292,118,5,143285
user_1293,4,7,93636
user_1294,391,6,202000
user_1296,263,4,125763
user_1297,67,7,149100
user_1298,156,2,61041
user_1299,93,5,172247
user_13,75,6,68349
user_130,77,4,97336
user_1301,9,5,136084
user_1302,344,6,151544
user_1303,3,10,210803
user_1304,328,6,146538
user_1305,91,8,266542
user_1306,787,1,29516
user_1307,699,1,14109
user_1308,362,2,14595
user_1309,4,9,175615
user_1310,107,4,75403
user_1311,621,1,27658
user_1312,95,8,190923
user_1313,169,6,142651
user_1314,25,8,146690
user_1315,119,10,289856
user_1316,23,6,127041
user_1317,258,6,161527
user_1318,36,2,35836
user_1319,38,3,101215
user_132,353,3,121713
user_1320,104,9,205331
user_1321,72,6,150550
user_1322,80,10,239301
user_1324,62,9,260065
user_1325,729,1,9812
user_1326,149,10,218292
user_1327,165,8,215712
user_1328,41,8,207525
user_1329,37,4,86172
user_133,127,10,234942
user_1330,258,6,228303
user_1331,392,7,230558
user_1332,158,10,243835
user_1333,325,3,88051
user_1334,56,5,116775
user_1335,297,10,252948
user_1336,53,1,27517
user_1337,235,5,114919
user_1338,48,7,202097
user_1339,137,6,201186
user_134,225,2,59986
user_1340,198,8,200693
user_1341,61,5,132624
user_1343,145,6,223224
user_1344,88,4,85034
user_1345,101,8,209816
user_1346,101,3,68208
user_1348,175,7,247275
user_1349,321,3,93947
user_135,114,6,125884
user_1350,69,6,136217
user_1351,39,8,177463
user_1352,19,10,260777
user_1353,127,5,114738
user_1354,190,10,144425
user_1355,335,4,99470
user_1356,440,2,22594
user_1357,127,9,206807
user_1358,102,4,151664
user_1359,136,2,41943
user_136,123,9,198154
user_1360,124,6,156941
user_1361,29,10,231715
user_1362,266,6,82781
user_1363,179,2,75302
user_1364,46,6,150374
user_1365,398,1,26462
user_1366,141,8,223563
user_1367,66,4,130163
user_1368,148,4,133124
user_1369,47,6,163862
user_137,260,1,24357
user_1370,429,2,72241
user_1371,617,1,11344
user_1372,26,10,197947
user_1373,336,1,1414
user_1374,72,9,230850
user_1375,190,8,164039
user_1376,276,5,94066
user_1377,443,3,26599
user_1378,12,2,56945
user_1379,19,6,185477
user_138,26,3,117125
user_1380,215,5,125875
user_1381,33,2,40485
user_1382,105,4,116642
user_1383,109,9,200115
user_1384,108,4,156141
user_1385,451,1,12322
user_1386,193,10,254552
user_1387,135,5,123856
user_1388,85,8,190749
user_1389,63,7,217260
user_139,94,7,199948
user_1390,628,1,16391
user_1391,58,9,273543
user_1392,328,2,7750
user_1394,143,3,64061
user_1395,401,3,73271
user_1396,161,5,178775
user_1397,39,5,140828
user_1398,10,4,123565
user_1399,57,5,112946
user_14,43,10,324301
user_1400,112,3,56724
user_1401,40,6,185079
user_1402,53,2,79483
user_1403,359,6,147700
user_1404,280,2,55119
user_1405,19,6,130996
user_1406,15,8,184524
user_1407,47,3,109413
user_1408,67,7,147495
user_1409,248,5,148546
user_141,196,9,252482
user_1410,26,2,46870
user_1412,17,6,147063
user_1413,3,9,229128
user_1414,300,4,88627
user_1415,503,2,82692
user_1416,131,3,56762
user_1417,184,1,25960
user_1418,160,6,131975
user_1419,192,4,99346
user_142,105,7,146667
user_1420,254,3,60554
user_1422,153,6,240435
user_1423,71,6,168816
user_1424,518,3,65844
user_1425,154,9,244842
user_1426,583,1,22667
user_1427,114,9,187002
user_1429,98,9,282930
user_143,369,3,94184
user_1430,232,1,45589
user_1433,358,5,76003
user_1434,679,1,34989
user_1435,247,7,159904
user_1436,112,9,215275
user_1437,102,10,210608
user_1438,10,6,106990
user_1439,50,10,255360
user_1440,113,10,227951
user_1442,11,5,97233
user_1443,313,3,98411
user_1444,32,4,113424
user_1445,136,1,18743
user_1446,18,2,57735
user_1447,122,7,231746
user_1449,354,3,66457
user_145,501,1,31622
user_1450,67,10,201672
user_1451,115,2,17940
user_1452,29,1,6521
user_1453,209,3,66615
user_1454,424,3,70768
user_1455,89,7,202937
user_1456,92,5,137620
user_1457,107,4,109301
user_1458,361,2,39121
user_1459,87,9,219397
user_146,91,8,248295
user_1460,337,1,44163
user_1461,137,3,103205
user_1462,2,5,132098
user_1463,172,4,90818
user_1464,114,2,58266
user_1465,700,1,30387
user_1466,103,4,83929
user_1467,2,5,117293
user_1468,52,10,289798
user_1469,176,6,168681
user_147,201,4,120023
user_1470,42,10,207555
user_1471,19,10,233527
user_1472,17,8,174963
user_1473,30,6,134524
user_1474,297,1,7804
user_1475,104,5,62203
user_1476,337,2,29617
user_1477,23,10,260136
user_1478,28,2,4830
user_1479,163,2,70160
user_148,114,3,56368
user_1480,105,3,54688
user_1481,5,4,116971
user_1482,94,8,231953
user_1483,24,7,130895
user_1484,60,10,298728
user_1485,204,1,2932
user_1486,3,9,119218
user_1487,31,5,88000
user_1488,118,9,208894
user_1489,337,4,89332
user_149,141,8,220840
user_1490,105,10,285056
user_1491,22,6,82110
user_1494,45,6,176318
user_1495,6,7,141415
user_1496,43,10,199666
user_1497,174,1,23006
user_1498,38,3,66396
user_1499,190,8,241376
user_15,163,3,48658
user_150,63,7,228908
user_1500,187,7,243037
user_1501,108,8,234752
user_1502,149,5,112525
user_1503,186,9,149154
user_1504,97,10,274284
user_1505,48,6,103599
user_1506,204,2,31480
user_1507,43,6,189062
user_1508,74,4,58420
user_1509,22,8,267226
user_151,707,1,48461
user_1510,295,6,199810
user_1512,30,10,360784
user_1513,422,2,30069
user_1514,60,8,220327
user_1515,81,3,33575
user_1516,171,1,37456
user_1517,8,7,164886
user_1518,722,1,30384
user_1519,104,6,181720
user_152,501,1,44371
user_1520,194,7,163192
user_1521,28,8,163429
user_1522,69,4,84054
user_1523,68,3,118340
user_1524,127,8,222729
user_1525,37,6,179085
user_1526,4,9,191285
user_1528,17,10,254881
user_1529,43,4,115466
user_153,143,5,117948
user_1530,82,6,158810
user_1531,134,6,143358
user_1532,70,10,168349
user_1533,279,2,13105
user_1534,76,5,82304
user_1535,30,8,204116
user_1536,96,5,123368
user_1537,259,2,73545
user_1538,7,9,205802
user_1539,22,5,95352
user_154,196,8,291539
user_1540,101,5,104541
user_1541,72,4,69053
user_1542,790,1,7232
user_1543,153,2,28651
user_1544,99,8,230943
user_1545,92,5,175328
user_1546,637,1,9347
user_1547,548,1,39748
user_1548,212,8,159287
user_1549,442,3,76722
user_155,325,1,26574
user_1550,89,10,307965
user_1551,80,10,291692
user_1552,164,9,147815
user_1553,26,9,204080
user_1554,73,5,182627
user_1555,2,4,96112
user_1556,16,4,155365
user_1557,123,3,90884
user_1558,39,9,256237
user_1559,33,9,166028
user_156,23,7,209459
user_1560,98,8,175808
user_1561,7,10,252095
user_1562,59,4,74020
user_1563,103,5,178213
user_1564,20,10,270063
user_1565,41,7,198717
user_1566,15,7,229861
user_1567,162,8,164918
user_1568,136,5,95064
user_1569,74,9,188252
user_157,516,4,60027
user_1571,44,9,286590
user_1572,112,10,274773
user_1573,84,3,67004
user_1574,182,9,229674
user_1575,42,6,157881
user_1576,64,6,151453
user_1577,15,9,146509
user_1579,104,8,166148
user_158,29,1,35096
user_1580,191,7,121136
user_1581,160,5,165284
user_1582,287,3,73204
user_1583,34,8,173102
user_1584,26,8,214265
user_1585,87,9,263857
user_1586,526,1,30832
user_1587,21,10,194056
user_1588,335,4,64755
user_1589,25,9,149008
user_159,75,5,111470
user_1590,52,4,110976
user_1591,141,3,72733
user_1592,75,4,100919
user_1593,38,4,41347
user_1594,115,2,36845
user_1595,98,4,62663
user_1596,9,7,195133
user_1597,798,1,24386
user_1598,29,1,14584
user_1599,184,5,130643
user_16,205,5,152983
user_160,19,9,206941
user_1600,172,4,90949
user_1601,293,3,18548
user_1602,106,7,172469
user_1604,4,6,93870
user_1605,654,1,6343
user_1606,178,9,189964
user_1607,24,8,222729
user_1608,44,8,161331
user_1609,8,8,163847
user_161,29,10,313795
user_1610,19,7,137589
user_1611,15,10,190870
user_1612,421,6,131916
user_1613,70,5,151269
user_1614,49,7,267118
user_1615,780,1,3949
user_1616,28,3,112253
user_1617,160,4,72128
user_1618,274,6,133462
user_1619,127,4,126358
user_162,18,10,240300
user_1620,277,10,270386
user_1621,68,5,141709
user_1622,264,3,88189
user_1623,10,9,259213
user_1624,16,10,339612
user_1625,285,4,49546
user_1626,519,2,16985
user_1627,129,10,234467
user_1628,197,7,138218
user_1629,146,2,36970
user_163,9,2,51807
user_1630,155,5,161185
user_1632,195,9,231250
user_1633,11,6,185806
user_1634,209,3,72897
user_1635,80,3,66092
user_1636,80,8,233192
user_1637,69,6,223163
user_1639,43,5,144240
user_164,259,5,143471
user_1640,245,5,170150
user_1643,280,1,21680
user_1644,153,5,117433
user_1645,84,8,306689
user_1646,53,8,193504
user_1647,128,3,59898
user_1648,6,10,333261
user_1649,164,2,37032
user_165,14,2,20941
user_1650,133,2,16885
user_1651,19,7,132029
user_1652,34,5,112091
user_1653,168,1,40387
user_1654,19,8,131558
user_1655,73,10,237047
user_1656,269,7,216969
user_1657,90,8,226238
user_1658,173,4,94905
user_1659,40,6,139545
user_166,390,5,100007
user_1660,68,7,213420
user_1661,266,2,56515
user_1662,158,8,197566
user_1663,91,1,36859
user_1664,20,3,89660
user_1665,297,3,72964
user_1666,475,2,28006
user_1667,47,5,151066
user_1668,26,7,198912
user_1669,24,10,289469
user_167,143,3,94615
user_1670,14,5,119573
user_1671,79,8,210259
user_1672,37,8,149255
user_1673,144,9,175995
user_1674,206,6,217097
user_1675,36,5,96517
user_1676,130,9,249094
user_1678,79,9,227666
user_1679,56,9,229435
user_168,16,9,204607
user_1680,322,3,113528
user_1681,20,10,244098
user_1682,272,8,149231
user_1683,95,9,231385
user_1684,34,7,181822
user_1685,99,8,237721
user_1686,97,10,244744
user_1687,179,8,271381
user_1688,183,10,295879
user_1689,496,6,150521
user_169,24,6,133906
user_1690,51,6,122663
user_1691,102,6,103233
user_1692,42,7,247138
user_1693,522,2,53763
user_1694,4,10,291623
user_1695,4,10,345212
user_1696,85,6,197938
user_1697,330,3,84524
user_1699,47,6,177468
user_17,492,2,62023
user_170,62,5,100776
user_1700,96,5,114565
user_1701,30,3,81242
user_1702,19,9,220212
user_1703,46,9,292517
user_1704,63,6,151650
user_1705,206,3,37523
user_1706,11,8,143540
user_1707,196,5,178368
user_1708,82,6,231906
user_1709,262,7,172988
user_171,191,5,81732
user_1710,312,6,186568
user_1711,92,7,209209
user_1712,173,3,114468
user_1713,158,3,88866
user_1714,279,2,28645
user_1715,48,6,165817
user_1717,169,9,263311
user_172,198,7,115208
user_1720,18,8,194639
user_1721,66,7,111167
user_1722,47,8,195808
user_1725,236,5,144080
user_1726,100,4,142667
user_1727,20,2,69104
user_1728,170,10,216145
user_1729,90,6,194650
user_173,121,4,114703
user_1730,368,5,114532
user_1732,303,3,62708
user_1733,109,3,73634
user_1734,41,5,100950
user_1735,83,9,224271
user_1736,17,10,222498
user_1737,54,7,249814
user_1738,15,7,155726
user_1739,430,3,68843
user_1740,75,6,151448
user_1741,552,1,21110
user_1742,21,8,294591
user_1743,205,9,170120
user_1744,176,4,50604
user_1746,81,8,236542
user_1747,126,6,141739
user_1748,219,5,154276
user_1749,265,7,206990
user_175,48,10,174330
user_1750,189,10,236161
user_1751,634,1,6159
user_1752,41,7,201815
user_1753,124,1,42497
user_1754,123,10,208101
user_1755,126,6,201560
user_1756,253,5,108956
user_1757,44,7,209338
user_1758,259,4,83316
user_176,17,10,274476
user_1760,275,7,153608
user_1761,470,1,25833
user_1763,175,9,201693
user_1764,91,7,174487
user_1765,222,10,264437
user_1766,311,3,51243
user_1767,346,2,43538
user_1768,82,10,243883
user_1769,3,3,83763
user_177,121,5,132887
user_1770,241,9,194444
user_1771,112,3,93328
user_1772,174,9,253570
user_1773,244,5,87695
user_1774,597,1,21096
user_1776,120,7,151531
user_1777,87,8,184827
user_1778,80,6,139208
user_1779,4,4,115410
user_178,80,3,100673
user_1780,18,10,262060
user_1781,12,4,134652
user_1782,52,7,186720
user_1783,68,10,311993
user_1784,136,5,227245
user_1785,384,8,161311
user_1786,200,4,104201
user_1787,171,4,69679
user_1788,15,9,212003
user_1789,708,1,29965
user_179,571,2,51739
user_1790,288,5,104500
user_1792,41,4,109815
user_1793,230,1,43205
user_1794,14,5,179277
user_1796,120,8,191185
user_1798,115,4,88782
user_1799,409,5,142848
user_18,226,3,67480
user_180,15,5,165122
user_1800,104,7,85411
user_1801,375,10,243425
user_1802,36,6,187125
user_1803,20,6,167026
user_1804,88,9,227911
user_1805,134,10,257183
user_1806,332,1,43759
user_1808,17,4,93346
user_1809,152,2,60247
user_181,189,7,187287
user_1810,248,2,55918
user_1811,556,2,57311
user_1812,237,1,19403
user_1813,209,3,77469
user_1814,28,4,90027
user_1815,56,10,249083
user_1816,139,6,195895
user_1817,12,8,183509
user_1819,115,10,274726
user_182,88,9,154311
user_1820,261,8,153059
user_1821,24,8,199587
user_1822,191,10,209977
user_1823,59,9,168330
user_1824,96,4,44188
user_1825,146,3,76863
user_1826,15,2,54855
user_1827,436,7,219740
user_1828,53,9,221839
user_1829,246,8,157287
user_183,553,3,69501
user_1830,62,6,185399
user_1831,283,4,116223
user_1832,309,1,48664
user_1833,353,1,47145
user_1834,496,1,46785
user_1835,278,3,60156
user_1836,394,2,74028
user_1837,342,2,45950
user_184,73,5,124860
user_1840,25,7,256928
user_1841,5,3,59102
user_1842,182,7,195220
user_1843,37,3,65473
user_1844,14,6,178446
user_1845,296,9,177605
user_1846,65,8,256260
user_1847,344,4,124453
user_1848,31,6,172786
user_1849,158,10,195851
user_185,170,8,186108
user_1850,71,7,274584
user_1851,29,10,309523
user_1852,478,1,36992
user_1853,6,7,137793
user_1854,43,10,289984
user_1855,38,7,216045
user_1856,118,9,297563
user_1857,259,4,88096
user_1858,371,1,36991
user_1859,63,9,204934
user_186,104,9,305417
user_1860,3,10,332850
user_1861,286,1,16304
user_1862,135,2,31664
user_1863,281,5,160530
user_1865,423,2,23804
user_1866,15,6,159182
user_1867,9,10,238074
user_1868,126,10,300361
user_1869,27,5,148901
user_187,398,1,41623
user_1870,690,1,22997
user_1872,73,10,269913
user_1873,90,8,209732
user_1874,171,4,118125
user_1875,48,2,15855
user_1876,100,5,86419
user_1877,47,7,224286
user_1878,116,7,204390
user_1879,21,5,125544
user_188,774,1,19703
user_1880,454,3,94576
user_1881,117,8,248775
user_1882,104,6,86524
user_1883,817,1,47430
user_1884,64,6,143339
user_1885,43,9,267102
user_1886,24,7,187331
user_1887,68,8,214833
user_1888,100,7,127680
user_1889,10,10,241888
user_189,280,3,68937
user_1890,152,6,172793
user_1891,17,9,252604
user_1892,415,6,105108
user_1893,38,8,195149
user_1894,27,7,140817
user_1895,110,8,277003
user_1896,77,5,126408
user_1897,133,6,177788
user_1898,29,2,62501
user_1899,143,1,40826
user_19,437,3,52451
user_190,415,2,87391
user_1900,53,5,66939
user_1901,290,4,78707
user_1903,286,8,227761
user_1904,41,7,144819
user_1905,17,8,205002
user_1906,117,10,240759
user_1907,2,5,115507
user_1908,94,7,121075
user_191,214,3,63836
user_1910,209,2,52699
user_1911,197,3,125739
user_1912,89,7,145990
user_1913,49,4,146192
user_1915,62,5,73514
user_1916,3,5,158600
user_1918,15,6,147346
user_1919,11,6,167509
user_192,36,8,153190
user_1920,766,1,8827
user_1921,100,10,302153
user_1922,34,10,236699
user_1923,611,3,23621
user_1924,40,1,48541
user_1925,257,3,58019
user_1926,181,10,295639
user_1927,151,1,41724
user_1928,166,2,59182
user_1929,26,9,263704
user_193,63,7,141743
user_1930,114,10,212550
user_1931,74,4,122996
user_1932,72,4,90400
user_1933,204,2,60009
user_1934,71,10,275783
user_1935,61,3,75511
user_1936,169,4,67749
user_1937,281,2,42680
user_1938,398,1,7064
user_1939,3,5,181587
user_194,34,10,257132
user_1940,133,4,76067
user_1941,485,3,57015
user_1942,273,8,120637
user_1943,74,5,123589
user_1945,208,2,64469
user_1946,88,7,261345
user_1947,559,1,17406
user_1949,4,9,179615
user_195,187,6,143123
user_1950,4,4,75129
user_1951,635,1,30921
user_1952,142,6,137555
user_1953,160,3,40392
user_1954,167,7,166181
user_1955,161,2,32211
user_1956,170,5,131625
user_1957,29,10,242332
user_1958,34,8,201825
user_1959,25,8,240948
user_196,263,4,125216
user_1960,423,2,85049
user_1963,42,3,85189
user_1964,170,5,104931
user_1965,215,4,89728
user_1966,235,6,151096
user_1967,48,2,64752
user_1968,234,5,155645
user_1969,11,4,140966
user_197,690,2,50594
user_1970,20,8,228979
user_1971,72,6,225531
user_1972,216,10,340426
user_1973,528,2,46335
user_1974,42,5,135575
user_1975,266,7,187689
user_1976,53,10,189152
user_1977,9,4,108626
user_1978,19,9,238669
user_1979,498,3,54552
user_198,27,6,91429
user_1981,51,7,148355
user_1982,5,10,338867
user_1983,391,4,109430
user_1984,166,7,159170
user_1985,84,10,218371
user_1986,51,9,265184
user_1987,20,9,143565
user_1988,24,9,213017
user_1989,31,9,237694
user_199,69,4,83428
user_1990,232,3,86173
user_1991,57,9,220380
user_1992,70,8,184022
user_1993,800,1,8736
user_1994,9,9,287857
user_1995,84,6,118737
user_1996,100,4,70185
user_1997,203,2,55220
user_1999,88,5,122385
user_2,697,3,59970
user_20,341,1,14536
user_200,81,10,313946
user_2000,250,6,146014
user_2001,66,3,87752
user_2003,139,9,248083
user_2004,52,3,126443
user_2005,150,8,177388
user_2006,300,2,32435
user_2007,37,3,58685
user_2008,245,4,89518
user_2009,11,4,44721
user_201,351,2,70405
user_2010,268,4,123155
user_2011,141,6,212012
user_2012,102,4,85643
user_2013,22,7,150624
user_2014,118,6,177551
user_2015,48,5,93229
user_2016,56,8,193033
user_2017,136,5,105842
user_2018,242,6,105432
user_2019,66,8,207376
user_2020,1,6,157846
user_2021,120,8,172081
user_2022,175,3,93207
user_2023,5,5,74448
user_2024,465,6,152336
user_2025,25,9,295062
user_2026,31,9,237974
user_2027,188,3,57488
user_2028,147,10,172810
user_2029,177,2,41852
user_203,12,2,50167
user_2030,63,9,206911
user_2031,67,9,235729
user_2032,8,9,217791
user_2033,143,2,25133
user_2034,720,1,13942
user_2035,392,2,25758
user_2036,25,6,177822
user_2038,117,6,209950
user_2039,466,2,50988
user_204,154,10,262131
user_2040,58,5,120246
user_2041,162,7,125294
user_2042,814,1,6644
user_2043,11,8,205124
user_2044,419,10,237033
user_2045,262,1,48439
user_2046,2,10,232829
user_2047,9,10,242582
user_2048,77,7,185638
user_205,7,10,317957
user_2050,71,5,111745
user_2051,11,10,245877
user_2052,32,4,77700
user_2053,165,10,250666
user_2054,91,1,32923
user_2055,98,6,126992
user_2056,756,1,9429
user_2057,31,9,259380
user_2059,41,10,263367
user_206,114,3,65667
user_2060,17,8,171705
user_2061,147,5,113761
user_2062,583,1,24507
user_2063,230,6,147771
user_2064,433,1,32725
user_2065,27,4,49265
user_2066,505,3,59125
user_2067,251,8,219853
user_2068,131,7,160233
user_207,99,7,141196
user_2070,42,6,83913
user_2072,526,2,76068
user_2073,109,9,253781
user_2074,53,7,198657
user_2076,265,9,193454
user_2077,587,2,50186
user_2078,347,2,81689
user_2079,194,1,2146
user_208,211,5,123159
user_2080,293,4,91006
user_2081,59,4,103745
user_2083,87,2,35710
user_2084,52,3,109351
user_2085,41,10,229981
user_2086,46,10,245804
user_2087,53,8,166490
user_2088,31,9,224399
user_2089,658,1,26357
user_209,424,2,79713
user_2090,215,10,288835
user_2091,212,4,171050
user_2092,68,10,263245
user_2093,302,3,100217
user_2094,17,6,152838
user_2096,191,1,13683
user_2097,35,7,220231
user_2098,27,4,116643
user_2099,93,6,158051
user_21,42,7,121239
user_210,287,5,157257
user_2100,102,5,108360
user_2101,120,4,114630
user_2102,180,8,209931
user_2104,150,9,212406
user_2105,22,10,292852
user_2106,136,4,67618
user_2107,7,9,252333
user_2108,73,10,303945
user_211,158,9,251021
user_2110,388,1,27398
user_2111,1,7,179442
user_2112,7,9,281568
user_2113,165,4,44445
user_2114,34,7,180295
user_2115,786,1,31921
user_2116,27,4,107308
user_2117,205,8,166074
user_2118,7,4,101822
user_2119,90,2,51623
user_212,627,1,16163
user_2120,59,6,131617
user_2122,182,5,105135
user_2123,135,7,187735
user_2124,17,2,74660
user_2125,376,2,82269
user_2126,342,3,82588
user_2127,317,4,93695
user_2128,116,3,58700
user_2129,46,8,131107
user_2130,75,8,253790
user_2131,164,5,86409
user_2132,68,5,141597
user_2133,30,10,203807
user_2134,396,2,75283
user_2135,45,10,300371
user_2136,66,4,102042
user_2137,446,1,7249
user_2138,166,8,262200
user_2139,376,3,117131
user_214,103,8,198877
user_2140,547,1,48712
user_2141,151,3,89291
user_2142,25,9,222952
user_2143,63,9,189998
