client_id,recency,frequency,monetary,cluster,predicted_ltv
user_1082,764,1,19755,1,8956.926952141059
user_1083,44,6,225301,2,6576353.513513513
user_1084,186,5,85442,3,712016.6666666666
user_1085,118,10,279525,2,6799256.756756756
user_1086,98,3,39205,3,330792.1875
user_1087,13,7,205515,2,12044134.88372093
user_1088,166,2,53081,3,194991.42857142858
user_1090,312,1,47087,3,49565.26315789473
user_1091,147,4,89716,3,729892.8813559322
user_1092,67,9,201854,2,6742339.793814433
user_1093,112,7,173347,0,3076298.8732394367
user_1094,128,5,128981,0,1469403.7974683545
user_1095,143,10,224046,2,4662228.901734104
user_1096,173,3,90644,3,482243.94088669954
user_1097,70,8,150491,0,4334140.8
user_1098,121,10,239757,2,5716060.927152318
user_1099,13,7,169035,0,9906237.209302325
user_11,41,9,290707,2,13266065.915492957
user_110,85,7,131487,0,2881280.347826087
user_1100,240,7,199191,0,1859116.0
user_1101,69,5,194590,0,3538000.0
user_1102,286,4,122393,3,557740.2531645569
user_1103,376,1,13470,1,11943.84236453202
user_1104,135,7,146823,0,2242387.6363636362
user_1105,163,8,237372,2,3542131.3989637303
user_1106,8,8,193126,2,14636917.894736843
user_1107,147,8,208290,2,3389125.4237288134
user_1108,429,1,34892,1,27366.27450980392
user_1109,215,3,87871,3,387349.7142857142
user_111,246,3,28220,3,110426.08695652174
user_1110,43,9,284909,2,12645276.16438356
user_1111,151,8,159471,0,2537439.1160220993
user_1112,63,6,104321,0,2422939.35483871
user_1114,100,8,155680,0,3448910.7692307686
user_1115,5,2,94005,3,1933817.1428571427
user_1116,27,2,62294,3,786871.5789473684
user_1117,107,8,202454,2,4255967.299270073
user_1118,264,3,58821,3,216077.14285714284
user_1119,28,10,262448,2,16289875.862068966
user_1120,680,1,21763,1,11034.760563380281
user_1121,108,3,63922,3,500259.13043478265
user_1122,101,10,293894,2,8076476.335877862
user_1123,277,1,3719,3,4361.042345276874
user_1124,11,5,62953,0,2763790.243902439
user_1125,295,5,101327,3,561195.6923076923
user_1126,50,10,279600,2,12581999.999999998
user_1129,109,9,290641,2,6774653.525179856
user_113,447,3,24783,1,56112.452830188675
user_1131,54,2,66007,3,565774.2857142858
user_1132,10,9,232919,2,18866439.0
user_1133,174,1,6270,3,11064.705882352942
user_1134,59,10,225630,2,9126606.741573034
user_1135,76,10,203442,2,6909350.9433962265
user_1136,30,9,279319,2,15083226.0
user_1137,68,10,292727,2,10753236.734693877
user_1138,201,10,312395,2,4868493.506493506
user_1139,296,3,102926,3,340981.84049079753
user_114,180,4,92880,3,636891.4285714285
user_1140,147,2,52336,3,212892.2033898305
user_1141,278,3,50122,3,175752.4675324675
user_1142,227,4,125443,3,702871.2840466927
user_1143,507,1,29784,1,19966.92737430168
user_1144,13,2,46616,3,780546.976744186
user_1145,143,5,113832,0,1184379.190751445
user_1146,8,3,66465,3,1889005.2631578948
user_1147,177,8,158573,0,2206233.0434782607
user_1148,34,3,78069,3,1317414.375
user_1149,124,7,210501,2,3444561.818181818
user_1150,76,6,137955,0,2811158.490566038
user_1151,160,6,168518,0,1915783.5789473685
user_1152,37,4,163231,0,3508248.3582089553
user_1153,248,5,153883,0,996364.7482014388
user_1154,46,8,165281,0,6263280.0
user_1155,30,4,109658,0,2631792.0
user_1156,37,8,180152,2,7743847.164179104
user_1157,18,9,249752,2,16858260.0
user_1158,209,9,139888,0,1896389.6234309622
user_1159,279,1,6243,3,7273.398058252426
user_116,48,7,155637,0,5028272.307692308
user_1160,246,4,80667,3,420871.3043478261
user_1161,330,2,23782,3,47564.0
user_1162,40,6,117615,0,3629262.8571428577
user_1163,238,2,54470,3,146337.31343283583
user_1164,128,7,212448,2,3388411.1392405066
user_1165,164,8,259082,2,3846165.7731958763
user_1166,94,7,225408,2,4580872.258064517
user_1167,36,9,254833,2,12509983.636363635
user_1169,35,4,142493,0,3156767.9999999995
user_117,9,7,175105,0,11314476.923076922
user_1170,272,4,118767,3,566306.2251655629
user_1171,148,6,89565,0,1086856.1797752809
user_1172,788,1,698,1,307.1882640586797
user_1173,325,6,247437,2,1505532.1690140844
user_1174,61,8,190708,2,6035593.846153846
user_1175,41,7,168251,0,5971725.633802817
user_1176,6,7,191333,0,13393310.0
user_1178,381,4,135083,1,473283.50364963507
user_1179,120,5,98760,0,1185120.0
user_118,192,2,60029,3,194688.64864864864
user_1180,525,1,11716,1,7599.5675675675675
user_1183,99,10,203352,2,5674939.534883721
user_1184,292,1,31265,3,34954.65838509317
user_1185,18,6,163975,0,7378875.0
user_1186,659,2,35223,1,36807.7793904209
user_1187,81,2,47551,3,308438.9189189189
user_1188,22,6,134738,0,5596809.230769231
user_1189,29,4,130942,0,3195872.542372881
user_119,3,2,59101,3,1289476.3636363635
user_1190,271,3,71422,3,256264.98338870434
user_1191,15,9,158541,2,11414952.0
user_1192,63,9,225405,2,7852819.354838709
user_1193,637,1,23297,1,12574.092953523237
user_1194,96,6,137420,0,2355771.4285714286
user_1195,472,1,21195,1,15199.601593625497
user_1196,22,3,85311,3,1771843.846153846
user_1197,49,10,148610,2,6772101.265822785
user_1198,21,8,80022,0,4518889.411764706
user_1199,19,7,226498,2,11648468.57142857
user_12,18,6,123864,0,5573880.0
user_120,17,4,101661,0,3114720.0
user_1200,138,10,316336,2,6778628.571428572
user_1202,104,3,68979,3,555950.1492537314
user_1203,209,5,104740,0,788836.820083682
user_1204,781,1,40779,1,18101.6522811344
user_1205,16,8,143521,0,8985662.608695652
user_1206,131,3,57780,3,387592.546583851
user_1207,62,7,101948,0,2792488.695652174
user_1208,269,4,121201,3,583710.5016722408
user_1209,394,7,122007,0,725135.9433962264
user_121,512,1,8590,1,5705.535055350553
user_1210,73,6,121642,0,2550939.029126214
user_1211,55,9,247496,2,9433965.176470589
user_1212,112,4,61773,3,626430.4225352113
user_1214,696,1,15728,1,7799.00826446281
user_1216,63,5,125872,0,2436232.258064516
user_1217,82,8,254754,2,6550817.142857143
user_1218,24,7,79051,0,3689046.6666666665
user_1219,675,1,37293,1,19043.23404255319
user_122,14,1,38156,3,312185.45454545453
user_1220,37,3,129870,0,2093426.8656716417
user_1221,322,5,148953,0,761691.4772727273
user_1224,92,5,121711,0,1795736.0655737706
user_1225,136,2,89125,3,386566.265060241
user_1226,75,7,165349,0,3968376.0
user_1227,49,6,123544,0,3377911.8987341775
user_1228,57,7,162866,0,4717497.931034483
user_1229,132,5,118586,0,1317622.2222222222
user_123,85,9,257960,2,7267742.608695652
user_1230,4,8,113880,0,9646305.88235294
user_1231,298,6,119619,0,787734.8780487805
user_1232,83,10,226446,2,7214208.849557523
user_1233,691,1,1361,1,679.5561719833564
user_1234,72,10,305301,2,10775329.411764706
user_1235,106,10,255463,2,6762255.882352942
user_1236,110,7,211759,2,3811662.0000000005
user_1237,73,8,207813,2,5810693.59223301
user_1238,77,8,194020,2,5222220.5607476635
user_1239,37,10,252268,2,13554698.507462686
user_124,16,9,193625,2,13637934.782608697
user_1240,80,6,175665,0,3449421.8181818184
user_1241,89,10,224524,2,6792322.68907563
user_1242,10,10,235804,2,21222360.0
user_1243,291,1,45708,3,51261.30841121496
user_1244,7,9,265123,2,23216176.216216214
user_1245,92,6,144795,0,2563583.606557377
user_1246,355,7,135794,0,888833.4545454545
user_1247,104,10,196561,2,5280743.2835820895
user_1248,561,1,973,1,592.6903553299493
user_125,289,3,67797,3,229532.1630094044
user_1250,143,4,108298,3,901440.0
user_1251,312,1,20864,3,21962.105263157893
user_1252,220,5,95373,3,686685.6000000001
user_1253,27,8,236101,2,11929313.684210528
user_1254,21,6,173813,0,7361491.764705882
user_1255,3,9,169341,2,16626207.272727272
user_1258,80,8,197976,2,5183371.636363637
user_1259,289,10,244890,2,2763648.902821317
user_126,22,10,279100,2,19322307.692307692
user_1261,44,7,172098,0,5860634.594594594
user_1262,102,4,102727,3,1120658.1818181816
user_1263,290,2,49131,3,110544.75
user_1264,126,10,210502,2,4857738.461538461
user_1265,84,8,210368,2,5314560.0
user_1266,119,3,88912,3,644462.8187919463
user_1267,39,8,219573,2,9164786.086956523
user_1268,199,5,165872,0,1303797.3799126637
user_1269,188,8,255800,2,3379376.146788991
user_127,145,5,105291,0,1082993.142857143
user_1270,24,7,186661,0,8710846.666666666
user_1271,90,8,259077,2,6217848.0
user_1272,198,6,155129,0,1469643.1578947369
user_1273,10,10,241098,2,21698820.0
user_1274,121,9,216392,2,4643113.112582781
user_1275,31,8,195528,2,9231485.901639344
user_1276,68,3,38659,3,426037.9591836735
user_1277,43,10,202927,2,10007358.904109588
user_1278,262,9,271393,2,3011346.98630137
user_1279,43,7,257984,2,8905749.04109589
user_128,22,6,208905,0,8677592.307692308
user_1280,121,5,60818,3,724982.7814569536
user_1281,129,4,129928,0,1176706.4150943398
user_1282,14,10,183800,2,15038181.818181816
user_1283,112,10,287108,2,7278794.366197183
user_1284,58,9,290242,2,10686182.727272727
user_1285,422,3,38210,1,91298.23008849558
user_1286,130,5,122683,0,1380183.75
user_1287,87,10,275955,2,8490923.076923078
user_1288,292,2,18447,3,41247.95031055901
user_1289,468,1,3411,1,2465.7831325301204
user_129,6,3,61907,3,1857210.0
user_1290,484,1,11600,1,8124.513618677043
user_1291,136,5,175312,0,1900973.4939759036
user_1292,118,5,143285,0,1742655.4054054052
user_1293,4,7,93636,0,6940080.0
user_1294,391,6,202000,0,1036389.5486935867
user_1296,263,4,125763,3,618084.3686006826
user_1297,67,7,149100,0,3873525.7731958763
user_1298,156,2,61041,3,236287.74193548388
user_1299,93,5,172247,0,2520687.804878049
user_13,75,6,68349,0,1406036.5714285714
user_130,77,4,97336,3,1309942.429906542
user_1301,9,5,136084,0,6280800.0
user_1302,344,6,151544,0,875227.3796791444
user_1303,3,10,210803,2,22996690.909090906
user_1304,328,6,146538,0,884139.8882681564
user_1305,91,8,266542,2,6344140.165289257
user_1306,787,1,29516,1,13005.826193390452
user_1307,699,1,14109,1,6967.407407407407
user_1308,362,2,14595,1,26807.14285714286
user_1309,4,9,175615,2,16735076.470588235
user_1310,107,4,75403,3,792557.0802919709
user_1311,621,1,27658,1,15294.746543778803
user_1312,95,8,190923,2,4398865.920000001
user_1313,169,6,142651,0,1548372.6633165828
user_1314,25,8,146690,0,7681221.818181817
user_1315,119,10,289856,2,7003232.214765101
user_1316,23,6,127041,0,5177520.0
user_1317,258,6,161527,0,1211452.5
user_1318,36,2,35836,3,390938.18181818177
user_1319,38,3,101215,3,1607532.3529411766
user_132,353,3,121713,3,343211.592689295
user_1320,104,9,205331,2,4964719.701492537
user_1321,72,6,150550,0,3188117.6470588236
user_1322,80,10,239301,2,7831669.090909091
user_1324,62,9,260065,2,9158810.869565217
user_1325,729,1,9812,1,4653.913043478261
user_1326,149,10,218292,2,4390230.167597765
user_1327,165,8,215712,2,3185900.3076923075
user_1328,41,8,207525,2,8417915.492957747
user_1329,37,4,86172,3,1852054.9253731342
user_133,127,10,234942,2,5387205.095541401
user_1330,258,6,228303,0,1712272.5
user_1331,392,7,230558,2,1376791.8483412322
user_1332,158,10,243835,2,4669180.85106383
user_1333,325,3,88051,3,267873.4647887324
user_1334,56,5,116775,0,2444127.906976744
user_1335,297,10,252948,2,2784748.623853211
user_1336,53,1,27517,3,119350.84337349398
user_1337,235,5,114919,0,780581.8867924529
user_1338,48,7,202097,2,6529287.692307692
user_1339,137,6,201186,0,2602166.2275449103
user_134,225,2,59986,3,169372.23529411765
user_1340,198,8,200693,2,2535069.473684211
user_1341,61,5,132624,0,2623331.868131868
user_1343,145,6,223224,0,2755221.942857143
user_1344,88,4,85034,3,1037703.0508474577
user_1345,101,8,209816,2,4612748.702290076
user_1346,101,3,68208,3,562325.4961832061
user_1348,175,7,247275,2,3039673.1707317075
user_1349,321,3,93947,3,289067.6923076923
user_135,114,6,125884,0,1888260.0
user_1350,69,6,136217,0,2972007.272727273
user_1351,39,8,177463,2,7407151.304347827
user_1352,19,10,260777,2,19159126.530612245
user_1353,127,5,114738,0,1315467.5159235669
user_1354,190,10,144425,2,2363318.181818182
user_1355,335,4,99470,3,392429.5890410959
user_1356,440,2,22594,1,34612.08510638298
user_1357,127,9,206807,2,4267864.203821656
user_1358,102,4,151664,0,1654516.3636363635
user_1359,136,2,41943,3,181921.44578313254
user_136,123,9,198154,2,4196202.352941177
user_1360,124,6,156941,0,2201250.3896103892
user_1361,29,10,231715,2,14138542.372881355
user_1362,266,6,82781,0,604077.5675675676
user_1363,179,2,75302,3,259413.58851674641
user_1364,46,6,150374,0,4273787.368421053
user_1365,398,1,26462,1,22257.757009345794
user_1366,141,8,223563,2,3765271.578947368
user_1367,66,4,130163,0,1952445.0
user_1368,148,4,133124,0,1076958.202247191
user_1369,47,6,163862,0,4596648.311688312
user_137,260,1,24357,3,30236.275862068967
user_1370,429,2,72241,1,113319.2156862745
user_1371,617,1,11344,1,6311.962905718702
user_1372,26,10,197947,2,12725164.285714285
user_1373,336,1,1414,1,1390.8196721311476
user_1374,72,9,230850,2,7332882.352941177
user_1375,190,8,164039,0,2147419.6363636362
user_1376,276,5,94066,3,553329.4117647059
user_1377,443,3,26599,1,60733.446088794924
user_1378,12,2,56945,3,976200.0000000001
user_1379,19,6,185477,0,8176128.979591837
user_138,26,3,117125,3,2258839.2857142854
user_1380,215,5,125875,0,924795.9183673467
user_1381,33,2,40485,3,462685.71428571426
user_1382,105,4,116642,0,1244181.3333333333
user_1383,109,9,200115,2,4664551.079136691
user_1384,108,4,156141,0,1629297.391304348
user_1385,451,1,12322,1,9222.286902286904
user_1386,193,10,254552,2,4109359.641255605
user_1387,135,5,123856,0,1351156.3636363635
user_1388,85,8,190749,2,4777018.434782608
user_1389,63,7,217260,2,5887045.161290322
user_139,94,7,199948,2,4063459.3548387103
user_1390,628,1,16391,1,8967.72036474164
user_1391,58,9,273543,2,10071355.909090908
user_1392,328,2,7750,3,15586.592178770949
user_1394,143,3,64061,3,399918.3815028902
user_1395,401,3,73271,1,183602.50580046405
user_1396,161,5,178775,0,1684790.5759162304
user_1397,39,5,140828,0,3673773.9130434785
user_1398,10,4,123565,0,4448340.0
user_1399,57,5,112946,0,2336813.793103448
user_14,43,10,324301,2,15992926.027397258
user_1400,112,3,56724,3,431421.9718309859
user_1401,40,6,185079,0,5711009.142857144
user_1402,53,2,79483,3,689491.0843373494
user_1403,359,6,147700,0,820133.676092545
user_1404,280,2,55119,3,128018.32258064515
user_1405,19,6,130996,0,5774517.551020408
user_1406,15,8,184524,2,11809536.0
user_1407,47,3,109413,3,1534623.8961038962
user_1408,67,7,147495,0,3831828.8659793814
user_1409,248,5,148546,0,961808.6330935251
user_141,196,9,252482,2,3619653.451327434
user_1410,26,2,46870,3,602614.2857142857
user_1412,17,6,147063,0,6758640.0
user_1413,3,9,229128,2,22496203.636363633
user_1414,300,4,88627,3,386736.0
user_1415,503,2,82692,1,111704.01500938086
user_1416,131,3,56762,3,380763.72670807457
user_1417,184,1,25960,3,43671.02803738318
user_1418,160,6,131975,0,1500347.3684210528
user_1419,192,4,99346,3,644406.4864864865
user_142,105,7,146667,0,2737784.0
user_1420,254,3,60554,3,230275.77464788733
user_1422,153,6,240435,2,2837921.31147541
user_1423,71,6,168816,0,3610322.376237624
user_1424,518,3,65844,1,129765.54744525548
user_1425,154,9,244842,2,4311348.2608695645
user_1426,583,1,22667,1,13311.778140293638
user_1427,114,9,187002,2,4207545.0
user_1429,98,9,282930,2,7161665.625
user_143,369,3,94184,1,254934.13533834586
user_1430,232,1,45589,3,62641.374045801516
user_1433,358,5,76003,3,352591.23711340205
user_1434,679,1,34989,1,17765.92383638928
user_1435,247,7,159904,0,1454722.3104693142
user_1436,112,9,215275,2,4911908.450704225
user_1437,102,10,210608,2,5743854.545454545
user_1438,10,6,106990,0,5777460.0
user_1439,50,10,255360,2,11491199.999999998
user_1440,113,10,227951,2,5738626.573426574
user_1442,11,5,97233,0,4268765.853658536
user_1443,313,3,98411,3,309865.53935860057
user_1444,32,4,113424,0,2634363.870967742
user_1445,136,1,18743,3,40647.469879518074
user_1446,18,2,57735,3,866025.0
user_1447,122,7,231746,2,3842104.7368421056
user_1449,354,3,66457,3,186910.3125
user_145,501,1,31622,1,21438.64406779661
user_1450,67,10,201672,2,7484734.020618557
user_1451,115,2,17940,3,89081.37931034481
user_1452,29,1,6521,3,39789.15254237288
user_1453,209,3,66615,3,301021.7573221757
user_1454,424,3,70768,1,168346.78414096916
user_1455,89,7,202937,2,4297489.411764706
user_1456,92,5,137620,0,2030459.0163934426
user_1457,107,4,109301,3,1148857.2262773723
user_1458,361,2,39121,1,72038.67007672634
user_1459,87,9,219397,2,6075609.230769231
user_146,91,8,248295,2,5909831.4049586775
user_1460,337,1,44163,3,43320.65395095368
user_1461,137,3,103205,3,667433.5329341318
user_1462,2,5,132098,0,7430512.5
user_1463,172,4,90818,3,647415.4455445545
user_1464,114,2,58266,3,291330.0
user_1465,700,1,30387,1,14985.369863013699
user_1466,103,4,83929,3,908704.962406015
user_1467,2,5,117293,0,6597731.25
user_1468,52,10,289798,2,12722839.024390243
user_1469,176,6,168681,0,1768693.9805825243
user_147,201,4,120023,3,748195.3246753246
user_1470,42,10,207555,2,10377750.0
user_1471,19,10,233527,2,17157085.714285716
user_1472,17,8,174963,2,10721137.021276595
user_1473,30,6,134524,0,4842864.0
user_1474,297,1,7804,3,8591.559633027522
user_1475,104,5,62203,3,835562.6865671641
user_1476,337,2,29617,3,58104.196185286106
user_1477,23,10,260136,2,17669615.094339624
user_1478,28,2,4830,3,59958.620689655174
user_1479,163,2,70160,3,261736.78756476683
user_148,114,3,56368,3,422760.0
user_1480,105,3,54688,3,437504.0
user_1481,5,4,116971,0,4812521.142857143
user_1482,94,8,231953,2,5387295.483870968
user_1483,24,7,130895,0,6108433.333333333
user_1484,60,10,298728,2,11949120.0
user_1485,204,1,2932,3,4510.7692307692305
user_1486,3,9,119218,0,11705039.999999998
user_1487,31,5,88000,0,2596721.31147541
user_1488,118,9,208894,2,4573084.864864864
user_1489,337,4,89332,3,350512.47956403275
user_149,141,8,220840,2,3719410.526315789
user_1490,105,10,285056,2,7601493.333333333
user_1491,22,6,82110,0,3410723.076923077
user_1494,45,6,176318,0,5077958.4
user_1495,6,7,141415,0,9899050.0
user_1496,43,10,199666,2,9846542.465753423
user_1497,174,1,23006,3,40598.82352941176
user_1498,38,3,66396,3,1054524.705882353
user_1499,190,8,241376,2,3159831.272727273
user_15,163,3,48658,3,272283.10880829016
user_150,63,7,228908,2,6202668.387096774
user_1500,187,7,243037,2,2822365.1612903224
user_1501,108,8,234752,2,4899172.173913044
user_1502,149,5,112525,0,1131536.312849162
user_1503,186,9,149154,0,2237310.0
user_1504,97,10,274284,2,7774979.527559055
user_1505,48,6,103599,0,2868895.3846153845
user_1506,204,2,31480,3,96861.53846153847
user_1507,43,6,189062,0,5594163.287671233
user_1508,74,4,58420,3,808892.3076923076
user_1509,22,8,267226,2,14800209.23076923
user_151,707,1,48461,1,23671.58751696065
user_1510,295,6,199810,0,1327968.0
user_1512,30,10,360784,2,21647040.0
user_1513,422,2,30069,1,47897.5221238938
user_1514,60,8,220327,2,7050464.0
user_1515,81,3,33575,3,326675.6756756757
user_1516,171,1,37456,3,67085.37313432836
user_1517,8,7,164886,0,10934545.263157895
user_1518,722,1,30384,1,14545.531914893618
user_1519,104,6,181720,0,2929217.910447761
user_152,501,1,44371,1,30082.033898305086
user_1520,194,7,163192,0,1835910.0
user_1521,28,8,163429,0,8115095.172413793
user_1522,69,4,84054,3,1222603.6363636365
user_1523,68,3,118340,3,1304155.1020408163
user_1524,127,8,222729,2,4085729.426751592
user_1525,37,6,179085,0,5773486.567164179
user_1526,4,9,191285,2,18228335.29411765
user_1528,17,10,254881,2,19522800.0
user_1529,43,4,115466,0,2277685.4794520545
user_153,143,5,117948,0,1227204.6242774567
user_1530,82,6,158810,0,3062764.2857142854
user_1531,134,6,143358,0,1888129.756097561
user_1532,70,10,168349,2,6060564.0
user_1533,279,2,13105,3,30535.922330097084
user_1534,76,5,82304,0,1397615.0943396227
user_1535,30,8,204116,2,9797568.0
user_1536,96,5,123368,0,1762400.0
user_1537,259,2,73545,3,183226.29757785468
user_1538,7,9,205802,2,18021580.54054054
user_1539,22,5,95352,0,3300646.1538461535
user_154,196,8,291539,2,3715187.256637168
user_1540,101,5,104541,0,1436441.2213740456
user_1541,72,4,69053,3,974865.8823529412
user_1542,790,1,7232,1,3175.0243902439024
user_1543,153,2,28651,3,112725.24590163935
user_1544,99,8,230943,2,5155936.7441860465
user_1545,92,5,175328,0,2586806.5573770492
user_1546,637,1,9347,1,5044.857571214393
user_1547,548,1,39748,1,24756.539792387546
user_1548,212,8,159287,0,1895646.9421487604
user_1549,442,3,76722,1,175550.33898305087
user_155,325,1,26574,3,26948.281690140844
user_1550,89,10,307965,2,9316588.235294117
user_1551,80,10,291692,2,9546283.636363637
user_1552,164,9,147815,0,2468662.886597938
user_1553,26,9,204080,2,11807485.714285715
user_1554,73,5,182627,0,3191539.805825243
user_1555,2,4,96112,0,4325040.0
user_1556,16,4,155365,0,4863600.0
user_1557,123,3,90884,3,641534.1176470589
user_1558,39,9,256237,2,12031998.260869566
user_1559,33,9,166028,2,8538582.857142856
user_156,23,7,209459,2,9959182.641509434
user_1560,98,8,175808,2,3955680.0
user_1561,7,10,252095,2,24528162.162162162
user_1562,59,4,74020,3,1197626.9662921347
user_1563,103,5,178213,0,2411905.263157895
user_1564,20,10,270063,2,19444536.0
user_1565,41,7,198717,2,7053054.084507043
user_1566,15,7,229861,2,12872216.0
user_1567,162,8,164918,0,2473770.0
user_1568,136,5,95064,0,1030814.4578313254
user_1569,74,9,188252,2,5864773.846153846
user_157,516,4,60027,1,158312.96703296705
user_1571,44,9,286590,2,12547994.594594594
user_1572,112,10,274773,2,6966076.056338028
user_1573,84,3,67004,3,634774.7368421053
user_1574,182,9,229674,2,3510112.0754716983
user_1575,42,6,157881,0,4736430.0
user_1576,64,6,151453,0,3480196.595744681
user_1577,15,9,146509,2,10548648.0
user_1579,104,8,166148,0,3570942.0895522386
user_158,29,1,35096,3,214145.0847457627
user_1580,191,7,121136,0,1381279.2760180996
user_1581,160,5,165284,0,1565848.4210526317
user_1582,287,3,73204,3,249401.6403785489
user_1583,34,8,173102,2,7789590.0
user_1584,26,8,214265,2,11019342.857142856
user_1585,87,9,263857,2,7306809.230769231
user_1586,526,1,30832,1,19963.1654676259
user_1587,21,10,194056,2,13698070.588235294
user_1588,335,4,64755,3,255471.7808219178
user_1589,25,9,149008,2,8777925.818181818
user_159,75,5,111470,0,1910914.2857142857
user_1590,52,4,110976,0,1948846.8292682928
user_1591,141,3,72733,3,459366.31578947365
user_1592,75,4,100919,3,1384032.0
user_1593,38,4,41347,3,875583.5294117647
user_1594,115,2,36845,3,182954.48275862067
user_1595,98,4,62663,3,704958.75
user_1596,9,7,195133,0,12608593.846153846
user_1597,798,1,24386,1,10602.608695652174
user_1598,29,1,14584,3,88987.11864406778
user_1599,184,5,130643,0,1098866.3551401868
user_16,205,5,152983,0,1171784.680851064
user_160,19,9,206941,2,13683445.714285715
user_1600,172,4,90949,3,648349.3069306931
user_1601,293,3,18548,3,62018.08049535603
user_1602,106,7,172469,0,3195749.117647059
user_1604,4,6,93870,0,5963505.882352942
user_1605,654,1,6343,1,3338.4210526315787
user_1606,178,9,189964,2,2959054.6153846155
user_1607,24,8,222729,2,11878880.0
user_1608,44,8,161331,0,6278828.108108108
user_1609,8,8,163847,0,12417877.894736843
user_161,29,10,313795,2,19146813.559322033
user_1610,19,7,137589,0,7076005.714285715
user_1611,15,10,190870,2,15269600.0
user_1612,421,6,131916,1,631792.8159645232
user_1613,70,5,151269,0,2722842.0
user_1614,49,7,267118,2,8520726.075949367
user_1615,780,1,3949,1,1755.111111111111
user_1616,28,3,112253,3,2090228.2758620689
user_1617,160,4,72128,3,546654.3157894737
user_1618,274,6,133462,0,948282.6315789474
