client_id,recency,frequency,monetary,cluster
user_1083,44,6,225301,2
user_1084,186,5,85442,3
user_1085,118,10,279525,2
user_1086,98,3,39205,3
user_1087,13,7,205515,2
user_1088,166,2,53081,3
user_1090,312,1,47087,3
user_1091,147,4,89716,3
user_1092,67,9,201854,2
user_1093,112,7,173347,0
user_1094,128,5,128981,0
user_1095,143,10,224046,2
user_1096,173,3,90644,3
user_1097,70,8,150491,0
user_1098,121,10,239757,2
user_1099,13,7,169035,0
user_11,41,9,290707,2
user_110,85,7,131487,0
user_1100,240,7,199191,0
user_1101,69,5,194590,0
user_1102,286,4,122393,3
user_1103,376,1,13470,1
user_1104,135,7,146823,0
user_1105,163,8,237372,2
user_1106,8,8,193126,2
user_1107,147,8,208290,2
user_1108,429,1,34892,1
user_1109,215,3,87871,3
user_111,246,3,28220,3
user_1110,43,9,284909,2
user_1111,151,8,159471,0
user_1112,63,6,104321,0
user_1114,100,8,155680,0
user_1115,5,2,94005,3
user_1116,27,2,62294,3
user_1117,107,8,202454,2
user_1118,264,3,58821,3
user_1119,28,10,262448,2
user_1120,680,1,21763,1
user_1121,108,3,63922,3
user_1122,101,10,293894,2
user_1123,277,1,3719,3
user_1124,11,5,62953,0
user_1125,295,5,101327,3
user_1126,50,10,279600,2
user_1129,109,9,290641,2
user_113,447,3,24783,1
user_1131,54,2,66007,3
user_1132,10,9,232919,2
user_1133,174,1,6270,3
user_1134,59,10,225630,2
user_1135,76,10,203442,2
user_1136,30,9,279319,2
user_1137,68,10,292727,2
user_1138,201,10,312395,2
user_1139,296,3,102926,3
user_114,180,4,92880,3
user_1140,147,2,52336,3
user_1141,278,3,50122,3
user_1142,227,4,125443,3
user_1143,507,1,29784,1
user_1144,13,2,46616,3
user_1145,143,5,113832,0
user_1146,8,3,66465,3
user_1147,177,8,158573,0
user_1148,34,3,78069,3
user_1149,124,7,210501,2
user_1150,76,6,137955,0
user_1151,160,6,168518,0
user_1152,37,4,163231,0
user_1153,248,5,153883,0
user_1154,46,8,165281,0
user_1155,30,4,109658,0
user_1156,37,8,180152,2
user_1157,18,9,249752,2
user_1158,209,9,139888,0
user_1159,279,1,6243,3
user_116,48,7,155637,0
user_1160,246,4,80667,3
user_1161,330,2,23782,3
user_1162,40,6,117615,0
user_1163,238,2,54470,3
user_1164,128,7,212448,2
user_1165,164,8,259082,2
user_1166,94,7,225408,2
user_1167,36,9,254833,2
user_1169,35,4,142493,0
user_117,9,7,175105,0
user_1170,272,4,118767,3
user_1171,148,6,89565,0
user_1172,788,1,698,1
user_1173,325,6,247437,2
user_1174,61,8,190708,2
user_1175,41,7,168251,0
user_1176,6,7,191333,0
user_1178,381,4,135083,1
user_1179,120,5,98760,0
user_118,192,2,60029,3
user_1180,525,1,11716,1
user_1183,99,10,203352,2
user_1184,292,1,31265,3
user_1185,18,6,163975,0
user_1186,659,2,35223,1
user_1187,81,2,47551,3
user_1188,22,6,134738,0
user_1189,29,4,130942,0
user_119,3,2,59101,3
user_1190,271,3,71422,3
user_1191,15,9,158541,2
user_1192,63,9,225405,2
user_1193,637,1,23297,1
user_1194,96,6,137420,0
user_1195,472,1,21195,1
user_1196,22,3,85311,3
user_1197,49,10,148610,2
user_1198,21,8,80022,0
user_1199,19,7,226498,2
user_12,18,6,123864,0
user_120,17,4,101661,0
user_1200,138,10,316336,2
user_1202,104,3,68979,3
user_1203,209,5,104740,0
user_1204,781,1,40779,1
user_1205,16,8,143521,0
user_1206,131,3,57780,3
user_1207,62,7,101948,0
user_1208,269,4,121201,3
user_1209,394,7,122007,0
user_121,512,1,8590,1
user_1210,73,6,121642,0
user_1211,55,9,247496,2
user_1212,112,4,61773,3
user_1214,696,1,15728,1
user_1216,63,5,125872,0
user_1217,82,8,254754,2
user_1218,24,7,79051,0
user_1219,675,1,37293,1
user_122,14,1,38156,3
user_1220,37,3,129870,0
user_1221,322,5,148953,0
user_1224,92,5,121711,0
user_1225,136,2,89125,3
user_1226,75,7,165349,0
user_1227,49,6,123544,0
user_1228,57,7,162866,0
user_1229,132,5,118586,0
user_123,85,9,257960,2
user_1230,4,8,113880,0
user_1231,298,6,119619,0
user_1232,83,10,226446,2
user_1233,691,1,1361,1
user_1234,72,10,305301,2
user_1235,106,10,255463,2
user_1236,110,7,211759,2
user_1237,73,8,207813,2
user_1238,77,8,194020,2
user_1239,37,10,252268,2
user_124,16,9,193625,2
user_1240,80,6,175665,0
user_1241,89,10,224524,2
user_1242,10,10,235804,2
user_1243,291,1,45708,3
user_1244,7,9,265123,2
user_1245,92,6,144795,0
user_1246,355,7,135794,0
user_1247,104,10,196561,2
user_1248,561,1,973,1
user_125,289,3,67797,3
user_1250,143,4,108298,3
user_1251,312,1,20864,3
user_1252,220,5,95373,3
user_1253,27,8,236101,2
user_1254,21,6,173813,0
user_1255,3,9,169341,2
user_1258,80,8,197976,2
user_1259,289,10,244890,2
user_126,22,10,279100,2
user_1261,44,7,172098,0
user_1262,102,4,102727,3
user_1263,290,2,49131,3
user_1264,126,10,210502,2
user_1265,84,8,210368,2
user_1266,119,3,88912,3
user_1267,39,8,219573,2
user_1268,199,5,165872,0
user_1269,188,8,255800,2
user_127,145,5,105291,0
user_1270,24,7,186661,0
user_1271,90,8,259077,2
user_1272,198,6,155129,0
user_1273,10,10,241098,2
user_1274,121,9,216392,2
user_1275,31,8,195528,2
user_1276,68,3,38659,3
user_1277,43,10,202927,2
user_1278,262,9,271393,2
user_1279,43,7,257984,2
user_128,22,6,208905,0
user_1280,121,5,60818,3
user_1281,129,4,129928,0
user_1282,14,10,183800,2
user_1283,112,10,287108,2
user_1284,58,9,290242,2
user_1285,422,3,38210,1
user_1286,130,5,122683,0
user_1287,87,10,275955,2
user_1288,292,2,18447,3
user_1289,468,1,3411,1
user_129,6,3,61907,3
user_1290,484,1,11600,1
user_1291,136,5,175312,0
user_1292,118,5,143285,0
user_1293,4,7,93636,0
user_1294,391,6,202000,0
user_1296,263,4,125763,3
user_1297,67,7,149100,0
user_1298,156,2,61041,3
user_1299,93,5,172247,0
user_13,75,6,68349,0
user_130,77,4,97336,3
user_1301,9,5,136084,0
user_1302,344,6,151544,0
user_1303,3,10,210803,2
user_1304,328,6,146538,0
user_1305,91,8,266542,2
user_1306,787,1,29516,1
user_1307,699,1,14109,1
user_1308,362,2,14595,1
user_1309,4,9,175615,2
user_1310,107,4,75403,3
user_1311,621,1,27658,1
user_1312,95,8,190923,2
user_1313,169,6,142651,0
user_1314,25,8,146690,0
user_1315,119,10,289856,2
user_1316,23,6,127041,0
user_1317,258,6,161527,0
user_1318,36,2,35836,3
user_1319,38,3,101215,3
user_132,353,3,121713,3
user_1320,104,9,205331,2
user_1321,72,6,150550,0
user_1322,80,10,239301,2
user_1324,62,9,260065,2
user_1325,729,1,9812,1
user_1326,149,10,218292,2
user_1327,165,8,215712,2
user_1328,41,8,207525,2
user_1329,37,4,86172,3
user_133,127,10,234942,2
user_1330,258,6,228303,0
user_1331,392,7,230558,2
user_1332,158,10,243835,2
user_1333,325,3,88051,3
user_1334,56,5,116775,0
user_1335,297,10,252948,2
user_1336,53,1,27517,3
user_1337,235,5,114919,0
user_1338,48,7,202097,2
user_1339,137,6,201186,0
user_134,225,2,59986,3
user_1340,198,8,200693,2
user_1341,61,5,132624,0
user_1343,145,6,223224,0
user_1344,88,4,85034,3
user_1345,101,8,209816,2
user_1346,101,3,68208,3
user_1348,175,7,247275,2
user_1349,321,3,93947,3
user_135,114,6,125884,0
user_1350,69,6,136217,0
user_1351,39,8,177463,2
user_1352,19,10,260777,2
user_1353,127,5,114738,0
user_1354,190,10,144425,2
user_1355,335,4,99470,3
user_1356,440,2,22594,1
user_1357,127,9,206807,2
user_1358,102,4,151664,0
user_1359,136,2,41943,3
user_136,123,9,198154,2
user_1360,124,6,156941,0
user_1361,29,10,231715,2
user_1362,266,6,82781,0
user_1363,179,2,75302,3
user_1364,46,6,150374,0
user_1365,398,1,26462,1
user_1366,141,8,223563,2
user_1367,66,4,130163,0
user_1368,148,4,133124,0
user_1369,47,6,163862,0
user_137,260,1,24357,3
user_1370,429,2,72241,1
user_1371,617,1,11344,1
user_1372,26,10,197947,2
user_1373,336,1,1414,1
user_1374,72,9,230850,2
user_1375,190,8,164039,0
user_1376,276,5,94066,3
user_1377,443,3,26599,1
user_1378,12,2,56945,3
user_1379,19,6,185477,0
user_138,26,3,117125,3
user_1380,215,5,125875,0
user_1381,33,2,40485,3
user_1382,105,4,116642,0
user_1383,109,9,200115,2
user_1384,108,4,156141,0
user_1385,451,1,12322,1
user_1386,193,10,254552,2
user_1387,135,5,123856,0
user_1388,85,8,190749,2
user_1389,63,7,217260,2
user_139,94,7,199948,2
user_1390,628,1,16391,1
user_1391,58,9,273543,2
user_1392,328,2,7750,3
user_1394,143,3,64061,3
user_1395,401,3,73271,1
user_1396,161,5,178775,0
user_1397,39,5,140828,0
user_1398,10,4,123565,0
user_1399,57,5,112946,0
user_14,43,10,324301,2
user_1400,112,3,56724,3
user_1401,40,6,185079,0
user_1402,53,2,79483,3
user_1403,359,6,147700,0
user_1404,280,2,55119,3
user_1405,19,6,130996,0
user_1406,15,8,184524,2
user_1407,47,3,109413,3
user_1408,67,7,147495,0
user_1409,248,5,148546,0
user_141,196,9,252482,2
user_1410,26,2,46870,3
user_1412,17,6,147063,0
user_1413,3,9,229128,2
user_1414,300,4,88627,3
user_1415,503,2,82692,1
user_1416,131,3,56762,3
user_1417,184,1,25960,3
user_1418,160,6,131975,0
user_1419,192,4,99346,3
user_142,105,7,146667,0
user_1420,254,3,60554,3
user_1422,153,6,240435,2
user_1423,71,6,168816,0
user_1424,518,3,65844,1
user_1425,154,9,244842,2
user_1426,583,1,22667,1
user_1427,114,9,187002,2
user_1429,98,9,282930,2
user_143,369,3,94184,1
user_1430,232,1,45589,3
user_1433,358,5,76003,3
user_1434,679,1,34989,1
user_1435,247,7,159904,0
user_1436,112,9,215275,2
user_1437,102,10,210608,2
user_1438,10,6,106990,0
user_1439,50,10,255360,2
user_1440,113,10,227951,2
user_1442,11,5,97233,0
user_1443,313,3,98411,3
user_1444,32,4,113424,0
user_1445,136,1,18743,3
user_1446,18,2,57735,3
user_1447,122,7,231746,2
user_1449,354,3,66457,3
user_145,501,1,31622,1
user_1450,67,10,201672,2
user_1451,115,2,17940,3
user_1452,29,1,6521,3
user_1453,209,3,66615,3
user_1454,424,3,70768,1
user_1455,89,7,202937,2
user_1456,92,5,137620,0
user_1457,107,4,109301,3
user_1458,361,2,39121,1
user_1459,87,9,219397,2
user_146,91,8,248295,2
user_1460,337,1,44163,3
user_1461,137,3,103205,3
user_1462,2,5,132098,0
user_1463,172,4,90818,3
user_1464,114,2,58266,3
user_1465,700,1,30387,1
user_1466,103,4,83929,3
user_1467,2,5,117293,0
user_1468,52,10,289798,2
user_1469,176,6,168681,0
user_147,201,4,120023,3
user_1470,42,10,207555,2
user_1471,19,10,233527,2
user_1472,17,8,174963,2
user_1473,30,6,134524,0
user_1474,297,1,7804,3
user_1475,104,5,62203,3
user_1476,337,2,29617,3
user_1477,23,10,260136,2
user_1478,28,2,4830,3
user_1479,163,2,70160,3
user_148,114,3,56368,3
user_1480,105,3,54688,3
user_1481,5,4,116971,0
user_1482,94,8,231953,2
user_1483,24,7,130895,0
user_1484,60,10,298728,2
user_1485,204,1,2932,3
user_1486,3,9,119218,0
user_1487,31,5,88000,0
user_1488,118,9,208894,2
user_1489,337,4,89332,3
user_149,141,8,220840,2
user_1490,105,10,285056,2
user_1491,22,6,82110,0
user_1494,45,6,176318,0
user_1495,6,7,141415,0
user_1496,43,10,199666,2
user_1497,174,1,23006,3
user_1498,38,3,66396,3
user_1499,190,8,241376,2
user_15,163,3,48658,3
user_150,63,7,228908,2
user_1500,187,7,243037,2
user_1501,108,8,234752,2
user_1502,149,5,112525,0
user_1503,186,9,149154,0
user_1504,97,10,274284,2
user_1505,48,6,103599,0
user_1506,204,2,31480,3
user_1507,43,6,189062,0
user_1508,74,4,58420,3
user_1509,22,8,267226,2
user_151,707,1,48461,1
user_1510,295,6,199810,0
user_1512,30,10,360784,2
user_1513,422,2,30069,1
user_1514,60,8,220327,2
user_1515,81,3,33575,3
user_1516,171,1,37456,3
user_1517,8,7,164886,0
user_1518,722,1,30384,1
user_1519,104,6,181720,0
user_152,501,1,44371,1
user_1520,194,7,163192,0
user_1521,28,8,163429,0
user_1522,69,4,84054,3
user_1523,68,3,118340,3
user_1524,127,8,222729,2
user_1525,37,6,179085,0
user_1526,4,9,191285,2
user_1528,17,10,254881,2
user_1529,43,4,115466,0
user_153,143,5,117948,0
user_1530,82,6,158810,0
user_1531,134,6,143358,0
user_1532,70,10,168349,2
user_1533,279,2,13105,3
user_1534,76,5,82304,0
user_1535,30,8,204116,2
user_1536,96,5,123368,0
user_1537,259,2,73545,3
user_1538,7,9,205802,2
user_1539,22,5,95352,0
user_154,196,8,291539,2
user_1540,101,5,104541,0
user_1541,72,4,69053,3
user_1542,790,1,7232,1
user_1543,153,2,28651,3
user_1544,99,8,230943,2
user_1545,92,5,175328,0
user_1546,637,1,9347,1
user_1547,548,1,39748,1
user_1548,212,8,159287,0
user_1549,442,3,76722,1
user_155,325,1,26574,3
user_1550,89,10,307965,2
user_1551,80,10,291692,2
user_1552,164,9,147815,0
user_1553,26,9,204080,2
user_1554,73,5,182627,0
user_1555,2,4,96112,0
user_1556,16,4,155365,0
user_1557,123,3,90884,3
user_1558,39,9,256237,2
user_1559,33,9,166028,2
user_156,23,7,209459,2
user_1560,98,8,175808,2
user_1561,7,10,252095,2
user_1562,59,4,74020,3
user_1563,103,5,178213,0
user_1564,20,10,270063,2
user_1565,41,7,198717,2
user_1566,15,7,229861,2
user_1567,162,8,164918,0
user_1568,136,5,95064,0
user_1569,74,9,188252,2
user_157,516,4,60027,1
user_1571,44,9,286590,2
user_1572,112,10,274773,2
user_1573,84,3,67004,3
user_1574,182,9,229674,2
user_1575,42,6,157881,0
user_1576,64,6,151453,0
user_1577,15,9,146509,2
user_1579,104,8,166148,0
user_158,29,1,35096,3
user_1580,191,7,121136,0
user_1581,160,5,165284,0
user_1582,287,3,73204,3
user_1583,34,8,173102,2
user_1584,26,8,214265,2
user_1585,87,9,263857,2
user_1586,526,1,30832,1
user_1587,21,10,194056,2
user_1588,335,4,64755,3
user_1589,25,9,149008,2
user_159,75,5,111470,0
user_1590,52,4,110976,0
user_1591,141,3,72733,3
user_1592,75,4,100919,3
user_1593,38,4,41347,3
user_1594,115,2,36845,3
user_1595,98,4,62663,3
user_1596,9,7,195133,0
user_1597,798,1,24386,1
user_1598,29,1,14584,3
user_1599,184,5,130643,0
user_16,205,5,152983,0
user_160,19,9,206941,2
user_1600,172,4,90949,3
user_1601,293,3,18548,3
user_1602,106,7,172469,0
user_1604,4,6,93870,0
user_1605,654,1,6343,1
user_1606,178,9,189964,2
user_1607,24,8,222729,2
user_1608,44,8,161331,0
user_1609,8,8,163847,0
user_161,29,10,313795,2
user_1610,19,7,137589,0
user_1611,15,10,190870,2
user_1612,421,6,131916,1
user_1613,70,5,151269,0
user_1614,49,7,267118,2
user_1615,780,1,3949,1
user_1616,28,3,112253,3
user_1617,160,4,72128,3
user_1618,274,6,133462,0
user_1619,127,4,126358,0
user_162,18,10,240300,2
user_1620,277,10,270386,2
user_1621,68,5,141709,0
user_1622,264,3,88189,3
user_1623,10,9,259213,2
user_1624,16,10,339612,2
user_1625,285,4,49546,3
user_1626,519,2,16985,1
user_1627,129,10,234467,2
user_1628,197,7,138218,0
user_1629,146,2,36970,3
user_163,9,2,51807,3
user_1630,155,5,161185,0
user_1632,195,9,231250,2
user_1633,11,6,185806,0
user_1634,209,3,72897,3
user_1635,80,3,66092,3
user_1636,80,8,233192,2
user_1637,69,6,223163,0
user_1639,43,5,144240,0
user_164,259,5,143471,0
user_1640,245,5,170150,0
user_1643,280,1,21680,3
user_1644,153,5,117433,0
user_1645,84,8,306689,2
user_1646,53,8,193504,2
user_1647,128,3,59898,3
user_1648,6,10,333261,2
user_1649,164,2,37032,3
user_165,14,2,20941,3
user_1650,133,2,16885,3
user_1651,19,7,132029,0
user_1652,34,5,112091,0
user_1653,168,1,40387,3
user_1654,19,8,131558,0
user_1655,73,10,237047,2
user_1656,269,7,216969,2
user_1657,90,8,226238,2
user_1658,173,4,94905,3
user_1659,40,6,139545,0
user_166,390,5,100007,1
user_1660,68,7,213420,2
user_1661,266,2,56515,3
user_1662,158,8,197566,2
user_1663,91,1,36859,3
user_1664,20,3,89660,3
user_1665,297,3,72964,3
user_1666,475,2,28006,1
user_1667,47,5,151066,0
user_1668,26,7,198912,2
user_1669,24,10,289469,2
user_167,143,3,94615,3
user_1670,14,5,119573,0
user_1671,79,8,210259,2
user_1672,37,8,149255,0
user_1673,144,9,175995,2
user_1674,206,6,217097,0
user_1675,36,5,96517,0
user_1676,130,9,249094,2
user_1678,79,9,227666,2
user_1679,56,9,229435,2
user_168,16,9,204607,2
user_1680,322,3,113528,3
user_1681,20,10,244098,2
user_1682,272,8,149231,0
user_1683,95,9,231385,2
user_1684,34,7,181822,0
user_1685,99,8,237721,2
user_1686,97,10,244744,2
user_1687,179,8,271381,2
user_1688,183,10,295879,2
user_1689,496,6,150521,1
user_169,24,6,133906,0
user_1690,51,6,122663,0
user_1691,102,6,103233,0
user_1692,42,7,247138,2
user_1693,522,2,53763,1
user_1694,4,10,291623,2
user_1695,4,10,345212,2
user_1696,85,6,197938,0
user_1697,330,3,84524,3
user_1699,47,6,177468,0
user_17,492,2,62023,1
user_170,62,5,100776,0
user_1700,96,5,114565,0
user_1701,30,3,81242,3
user_1702,19,9,220212,2
user_1703,46,9,292517,2
user_1704,63,6,151650,0
user_1705,206,3,37523,3
user_1706,11,8,143540,0
user_1707,196,5,178368,0
user_1708,82,6,231906,2
user_1709,262,7,172988,0
user_171,191,5,81732,3
user_1710,312,6,186568,0
user_1711,92,7,209209,2
user_1712,173,3,114468,3
user_1713,158,3,88866,3
user_1714,279,2,28645,3
user_1715,48,6,165817,0
user_1717,169,9,263311,2
user_172,198,7,115208,0
user_1720,18,8,194639,2
user_1721,66,7,111167,0
user_1722,47,8,195808,2
user_1725,236,5,144080,0
user_1726,100,4,142667,0
user_1727,20,2,69104,3
user_1728,170,10,216145,2
user_1729,90,6,194650,0
user_173,121,4,114703,0
user_1730,368,5,114532,3
user_1732,303,3,62708,3
user_1733,109,3,73634,3
user_1734,41,5,100950,0
user_1735,83,9,224271,2
user_1736,17,10,222498,2
user_1737,54,7,249814,2
user_1738,15,7,155726,0
user_1739,430,3,68843,1
user_1740,75,6,151448,0
user_1741,552,1,21110,1
user_1742,21,8,294591,2
user_1743,205,9,170120,2
user_1744,176,4,50604,3
user_1746,81,8,236542,2
user_1747,126,6,141739,0
user_1748,219,5,154276,0
user_1749,265,7,206990,2
user_175,48,10,174330,2
user_1750,189,10,236161,2
user_1751,634,1,6159,1
user_1752,41,7,201815,2
user_1753,124,1,42497,3
user_1754,123,10,208101,2
user_1755,126,6,201560,0
user_1756,253,5,108956,0
user_1757,44,7,209338,2
user_1758,259,4,83316,3
user_176,17,10,274476,2
user_1760,275,7,153608,0
user_1761,470,1,25833,1
user_1763,175,9,201693,2
user_1764,91,7,174487,0
user_1765,222,10,264437,2
user_1766,311,3,51243,3
user_1767,346,2,43538,1
user_1768,82,10,243883,2
user_1769,3,3,83763,3
user_177,121,5,132887,0
user_1770,241,9,194444,2
user_1771,112,3,93328,3
user_1772,174,9,253570,2
user_1773,244,5,87695,3
user_1774,597,1,21096,1
user_1776,120,7,151531,0
user_1777,87,8,184827,2
user_1778,80,6,139208,0
user_1779,4,4,115410,0
user_178,80,3,100673,3
user_1780,18,10,262060,2
user_1781,12,4,134652,0
user_1782,52,7,186720,0
user_1783,68,10,311993,2
user_1784,136,5,227245,0
user_1785,384,8,161311,0
user_1786,200,4,104201,3
user_1787,171,4,69679,3
user_1788,15,9,212003,2
user_1789,708,1,29965,1
user_179,571,2,51739,1
user_1790,288,5,104500,3
user_1792,41,4,109815,0
user_1793,230,1,43205,3
user_1794,14,5,179277,0
user_1796,120,8,191185,2
user_1798,115,4,88782,3
user_1799,409,5,142848,1
user_18,226,3,67480,3
user_180,15,5,165122,0
user_1800,104,7,85411,0
user_1801,375,10,243425,2
user_1802,36,6,187125,0
user_1803,20,6,167026,0
user_1804,88,9,227911,2
user_1805,134,10,257183,2
user_1806,332,1,43759,3
user_1808,17,4,93346,3
user_1809,152,2,60247,3
user_181,189,7,187287,0
user_1810,248,2,55918,3
user_1811,556,2,57311,1
user_1812,237,1,19403,3
user_1813,209,3,77469,3
user_1814,28,4,90027,3
user_1815,56,10,249083,2
user_1816,139,6,195895,0
user_1817,12,8,183509,2
user_1819,115,10,274726,2
user_182,88,9,154311,2
user_1820,261,8,153059,0
user_1821,24,8,199587,2
user_1822,191,10,209977,2
user_1823,59,9,168330,2
user_1824,96,4,44188,3
user_1825,146,3,76863,3
user_1826,15,2,54855,3
user_1827,436,7,219740,2
user_1828,53,9,221839,2
user_1829,246,8,157287,0
user_183,553,3,69501,1
user_1830,62,6,185399,0
user_1831,283,4,116223,3
user_1832,309,1,48664,3
user_1833,353,1,47145,1
user_1834,496,1,46785,1
user_1835,278,3,60156,3
user_1836,394,2,74028,1
user_1837,342,2,45950,3
user_184,73,5,124860,0
user_1840,25,7,256928,2
user_1841,5,3,59102,3
user_1842,182,7,195220,0
user_1843,37,3,65473,3
user_1844,14,6,178446,0
user_1845,296,9,177605,2
user_1846,65,8,256260,2
user_1847,344,4,124453,3
user_1848,31,6,172786,0
user_1849,158,10,195851,2
user_185,170,8,186108,2
user_1850,71,7,274584,2
user_1851,29,10,309523,2
user_1852,478,1,36992,1
user_1853,6,7,137793,0
user_1854,43,10,289984,2
user_1855,38,7,216045,2
user_1856,118,9,297563,2
user_1857,259,4,88096,3
user_1858,371,1,36991,1
user_1859,63,9,204934,2
user_186,104,9,305417,2
user_1860,3,10,332850,2
user_1861,286,1,16304,3
user_1862,135,2,31664,3
user_1863,281,5,160530,0
user_1865,423,2,23804,1
user_1866,15,6,159182,0
user_1867,9,10,238074,2
user_1868,126,10,300361,2
user_1869,27,5,148901,0
user_187,398,1,41623,1
user_1870,690,1,22997,1
user_1872,73,10,269913,2
user_1873,90,8,209732,2
user_1874,171,4,118125,3
user_1875,48,2,15855,3
user_1876,100,5,86419,0
user_1877,47,7,224286,2
user_1878,116,7,204390,2
user_1879,21,5,125544,0
user_188,774,1,19703,1
user_1880,454,3,94576,1
user_1881,117,8,248775,2
user_1882,104,6,86524,0
user_1883,817,1,47430,1
user_1884,64,6,143339,0
user_1885,43,9,267102,2
user_1886,24,7,187331,0
user_1887,68,8,214833,2
user_1888,100,7,127680,0
user_1889,10,10,241888,2
user_189,280,3,68937,3
user_1890,152,6,172793,0
user_1891,17,9,252604,2
user_1892,415,6,105108,1
user_1893,38,8,195149,2
user_1894,27,7,140817,0
user_1895,110,8,277003,2
user_1896,77,5,126408,0
user_1897,133,6,177788,0
user_1898,29,2,62501,3
user_1899,143,1,40826,3
user_19,437,3,52451,1
user_190,415,2,87391,1
user_1900,53,5,66939,3
user_1901,290,4,78707,3
user_1903,286,8,227761,2
user_1904,41,7,144819,0
user_1905,17,8,205002,2
user_1906,117,10,240759,2
user_1907,2,5,115507,0
user_1908,94,7,121075,0
user_191,214,3,63836,3
user_1910,209,2,52699,3
user_1911,197,3,125739,3
user_1912,89,7,145990,0
user_1913,49,4,146192,0
user_1915,62,5,73514,0
user_1916,3,5,158600,0
user_1918,15,6,147346,0
user_1919,11,6,167509,0
user_192,36,8,153190,0
user_1920,766,1,8827,1
user_1921,100,10,302153,2
user_1922,34,10,236699,2
user_1923,611,3,23621,1
user_1924,40,1,48541,3
user_1925,257,3,58019,3
user_1926,181,10,295639,2
user_1927,151,1,41724,3
user_1928,166,2,59182,3
user_1929,26,9,263704,2
user_193,63,7,141743,0
user_1930,114,10,212550,2
user_1931,74,4,122996,0
user_1932,72,4,90400,3
user_1933,204,2,60009,3
user_1934,71,10,275783,2
user_1935,61,3,75511,3
user_1936,169,4,67749,3
user_1937,281,2,42680,3
user_1938,398,1,7064,1
user_1939,3,5,181587,0
user_194,34,10,257132,2
user_1940,133,4,76067,3
user_1941,485,3,57015,1
user_1942,273,8,120637,0
user_1943,74,5,123589,0
user_1945,208,2,64469,3
user_1946,88,7,261345,2
user_1947,559,1,17406,1
user_1949,4,9,179615,2
user_195,187,6,143123,0
user_1950,4,4,75129,3
user_1951,635,1,30921,1
user_1952,142,6,137555,0
user_1953,160,3,40392,3
user_1954,167,7,166181,0
user_1955,161,2,32211,3
user_1956,170,5,131625,0
user_1957,29,10,242332,2
user_1958,34,8,201825,2
user_1959,25,8,240948,2
user_196,263,4,125216,3
user_1960,423,2,85049,1
user_1963,42,3,85189,3
user_1964,170,5,104931,0
user_1965,215,4,89728,3
user_1966,235,6,151096,0
user_1967,48,2,64752,3
user_1968,234,5,155645,0
user_1969,11,4,140966,0
user_197,690,2,50594,1
user_1970,20,8,228979,2
user_1971,72,6,225531,2
user_1972,216,10,340426,2
user_1973,528,2,46335,1
user_1974,42,5,135575,0
user_1975,266,7,187689,0
user_1976,53,10,189152,2
user_1977,9,4,108626,0
